subject,repetition,window_id,start_sample,end_sample,label,gesture_id,gesture_name,action_ratio,n_rr,mean_hr_bpm,std_hr_bpm,mean_rr_ms,sdnn_ms,rmssd_ms,pnn50_pct
S02,6,18,85369,90369,GESTURE,2,Hand Open,0.974,12,75.78,2.32,792.50,25.43,24.13,0.00
S02,6,19,90369,95369,GESTURE,2,Hand Open,0.672,11,76.42,1.92,785.64,20.43,16.35,0.00
S02,6,20,95369,100369,GESTURE,2,Hand Open,1.000,13,80.14,6.58,753.69,64.01,33.25,8.33
S02,6,21,100369,105369,REST,-1,REST,0.002,11,77.12,2.62,778.91,26.94,34.18,10.00
S02,6,22,105369,110369,GESTURE,1,Hand Close,0.971,12,74.30,2.05,808.17,23.67,30.17,9.09
S02,6,23,110369,115369,GESTURE,1,Hand Close,0.672,12,77.60,5.59,777.00,55.47,42.13,27.27
S02,6,24,115369,120369,GESTURE,1,Hand Close,1.000,11,76.54,2.97,785.09,31.07,38.31,20.00
S02,6,25,120369,125369,REST,-1,REST,0.004,12,72.49,4.65,831.17,56.07,37.61,9.09
S02,6,26,125369,130369,GESTURE,4,Wrist Extension,0.968,12,75.07,2.35,800.00,26.34,27.49,9.09
S02,6,27,130369,135369,GESTURE,4,Wrist Extension,0.674,11,73.28,3.23,820.36,37.88,29.75,0.00
S02,6,28,135369,140369,GESTURE,4,Wrist Extension,1.000,11,73.19,2.34,820.55,26.77,20.81,0.00
S02,6,29,140369,145369,REST,-1,REST,0.001,12,74.64,2.44,804.67,27.45,32.69,9.09
S02,6,30,145369,150369,GESTURE,10,Flexion of Middle Finger,0.971,11,74.55,3.50,806.55,38.29,26.80,0.00
S02,6,31,150369,155369,GESTURE,10,Flexion of Middle Finger,0.665,13,82.35,3.73,730.15,35.27,23.19,0.00
S02,6,32,155369,160369,GESTURE,10,Flexion of Middle Finger,1.000,12,78.94,2.54,760.83,24.97,24.41,9.09
S02,6,33,160369,165369,REST,-1,REST,0.013,12,76.65,3.90,784.83,42.43,25.88,0.00
S02,6,34,165369,170369,GESTURE,5,Pointing Index,0.957,12,79.48,3.64,756.50,35.42,30.83,9.09
S02,6,35,170369,175369,GESTURE,5,Pointing Index,0.673,13,82.74,6.88,730.31,64.00,34.28,8.33
S02,6,36,175369,180369,GESTURE,5,Pointing Index,1.000,11,76.01,4.20,791.82,46.68,28.57,0.00
S02,6,37,180369,185369,REST,-1,REST,0.034,13,84.65,8.83,717.23,84.47,35.33,25.00
S02,6,38,185369,190369,GESTURE,9,Flexion of Thumb,0.933,13,84.57,2.64,710.15,23.37,18.25,0.00
S02,6,39,190369,195369,GESTURE,9,Flexion of Thumb,0.670,12,78.17,2.98,768.67,30.35,18.00,0.00
S02,6,40,195369,200369,GESTURE,9,Flexion of Thumb,1.000,12,76.97,1.84,780.00,19.67,17.91,0.00
S02,6,41,200369,205369,REST,-1,REST,0.054,13,81.32,2.42,738.46,21.76,19.37,0.00
S02,6,42,205369,210369,GESTURE,7,Flexion of Little Finger,0.914,13,82.29,7.65,735.38,70.41,28.79,8.33
S02,6,43,210369,215369,GESTURE,7,Flexion of Little Finger,0.665,11,71.70,4.64,840.18,54.04,39.26,20.00
S02,6,44,215369,220369,GESTURE,7,Flexion of Little Finger,1.000,11,74.16,2.33,809.82,26.36,21.87,0.00
S02,7,1,521,5521,REST,-1,REST,0.000,12,76.00,3.92,791.50,40.94,31.68,9.09
S02,7,2,5521,10521,REST,-1,REST,0.000,12,76.17,3.88,789.67,39.79,39.49,18.18
S02,7,3,10521,15521,REST,-1,REST,0.000,11,72.05,3.34,834.55,40.57,44.88,10.00
S02,7,4,15521,20521,REST,-1,REST,0.000,11,70.26,1.86,854.55,23.82,25.56,0.00
S02,7,5,20521,25521,REST,-1,REST,0.067,12,81.15,4.52,741.67,43.45,30.92,9.09
S02,7,6,25521,30521,GESTURE,1,Hand Close,1.000,12,81.69,4.63,736.83,43.47,24.34,9.09
S02,7,7,30521,35521,GESTURE,1,Hand Close,0.677,12,74.72,2.82,804.17,31.16,37.26,27.27
S02,7,8,35521,40521,GESTURE,1,Hand Close,0.906,11,71.23,1.92,842.91,23.36,32.49,0.00
S02,7,9,40521,45521,REST,-1,REST,0.062,11,75.36,2.30,796.91,25.93,32.29,20.00
S02,7,10,45521,50521,GESTURE,10,Flexion of Middle Finger,1.000,11,72.74,5.55,829.64,65.73,71.04,20.00
S02,7,11,50521,55521,GESTURE,10,Flexion of Middle Finger,0.670,11,73.27,2.01,819.45,23.36,35.99,10.00
S02,7,12,55521,60521,GESTURE,10,Flexion of Middle Finger,0.697,11,71.52,2.93,840.36,35.94,29.63,10.00
S02,7,13,60521,65521,REST,-1,REST,0.270,11,73.59,3.15,816.73,34.18,42.40,20.00
S02,7,14,65521,70521,GESTURE,9,Flexion of Thumb,1.000,12,75.97,8.83,800.17,93.57,47.18,18.18
S02,7,15,70521,75521,GESTURE,9,Flexion of Thumb,0.678,10,67.82,1.61,885.20,22.18,28.46,0.00
S02,7,16,75521,80521,GESTURE,9,Flexion of Thumb,0.713,11,70.56,2.10,851.09,26.01,34.48,10.00
S02,7,17,80521,85521,REST,-1,REST,0.257,11,71.89,2.81,835.82,33.01,34.68,20.00
S02,7,18,85521,90521,GESTURE,3,Wrist Flexion,1.000,11,73.33,3.24,819.82,38.26,35.30,10.00
S02,7,19,90521,95521,GESTURE,3,Wrist Flexion,0.672,11,70.09,2.90,857.45,37.11,26.65,0.00
S02,7,20,95521,100521,GESTURE,3,Wrist Flexion,0.729,10,69.05,2.45,870.00,32.74,34.74,11.11
S02,7,21,100521,105521,REST,-1,REST,0.245,12,74.15,3.11,810.67,36.27,48.69,36.36
S02,7,22,105521,110521,GESTURE,8,Tripod Grasp,1.000,11,72.10,2.41,833.09,29.33,34.56,10.00
S02,7,23,110521,115521,GESTURE,8,Tripod Grasp,0.664,10,68.44,3.73,879.40,51.87,47.72,22.22
S02,7,24,115521,120521,GESTURE,8,Tripod Grasp,0.750,11,69.62,2.33,862.73,30.24,43.69,20.00
S02,7,25,120521,125521,REST,-1,REST,0.218,11,72.32,2.65,830.73,30.39,45.45,30.00
S02,7,26,125521,130521,GESTURE,6,Cut Something,1.000,11,72.96,2.42,823.27,27.53,39.04,30.00
S02,7,27,130521,135521,GESTURE,6,Cut Something,0.663,11,75.02,2.65,800.73,28.60,35.87,20.00
S02,7,28,135521,140521,GESTURE,6,Cut Something,0.777,12,75.66,5.96,798.00,65.44,54.90,45.45
S02,7,29,140521,145521,REST,-1,REST,0.198,11,69.41,2.90,865.82,36.35,39.51,20.00
S02,7,30,145521,150521,GESTURE,7,Flexion of Little Finger,1.000,10,70.18,3.33,856.80,41.78,54.55,44.44
S02,7,31,150521,155521,GESTURE,7,Flexion of Little Finger,0.666,11,70.64,3.77,851.82,47.06,31.84,10.00
S02,7,32,155521,160521,GESTURE,7,Flexion of Little Finger,0.791,11,73.07,4.01,823.64,47.26,42.62,30.00
S02,7,33,160521,165521,REST,-1,REST,0.178,12,76.24,4.56,789.83,49.24,34.63,18.18
S02,7,34,165521,170521,GESTURE,5,Pointing Index,1.000,11,74.73,3.83,804.91,41.67,50.15,40.00
S02,7,35,170521,175521,GESTURE,5,Pointing Index,0.667,11,69.46,2.48,864.91,31.68,43.20,30.00
S02,7,36,175521,180521,GESTURE,5,Pointing Index,0.810,10,68.24,3.90,882.00,50.78,52.21,44.44
S02,7,37,180521,185521,REST,-1,REST,0.155,12,75.05,4.10,801.83,45.43,43.56,36.36
S02,7,38,185521,190521,GESTURE,2,Hand Open,1.000,11,71.03,2.02,845.45,25.11,31.97,10.00
S02,7,39,190521,195521,GESTURE,2,Hand Open,0.670,11,71.90,2.50,835.45,30.25,45.70,30.00
S02,7,40,195521,200521,GESTURE,2,Hand Open,0.836,11,73.03,2.33,822.36,27.27,40.72,10.00
S02,7,41,200521,205521,REST,-1,REST,0.131,10,70.08,2.16,857.00,26.97,43.63,22.22
S02,7,42,205521,210521,GESTURE,4,Wrist Extension,1.000,11,70.32,2.12,854.00,26.79,37.79,10.00
S02,7,43,210521,215521,GESTURE,4,Wrist Extension,0.674,11,72.82,4.66,827.27,54.88,31.30,10.00
S02,8,1,273,5273,REST,-1,REST,0.000,12,73.35,4.79,821.50,56.73,51.21,27.27
S02,8,2,5273,10273,REST,-1,REST,0.000,10,70.03,2.91,858.20,36.03,40.48,33.33
S02,8,3,10273,15273,REST,-1,REST,0.000,12,75.82,6.04,796.33,65.29,56.89,36.36
S02,8,4,15273,20273,REST,-1,REST,0.000,11,70.70,4.33,851.82,53.80,51.76,30.00
S02,8,5,20273,25273,REST,-1,REST,0.025,11,73.61,6.51,821.09,71.56,53.77,50.00
S02,8,6,25273,30273,GESTURE,3,Wrist Flexion,1.000,10,70.26,4.62,857.60,57.83,56.61,55.56
S02,8,7,30273,35273,GESTURE,3,Wrist Flexion,0.663,12,74.45,10.09,820.17,110.50,42.10,27.27
S02,8,8,35273,40273,GESTURE,3,Wrist Flexion,0.967,11,72.12,3.09,833.45,36.21,35.16,10.00
S02,8,9,40273,45273,REST,-1,REST,0.000,11,73.31,2.80,819.64,32.58,32.46,10.00
S02,8,10,45273,50273,GESTURE,6,Cut Something,0.996,11,74.27,1.57,808.18,18.08,19.09,0.00
S02,8,11,50273,55273,GESTURE,6,Cut Something,0.664,13,82.28,2.91,730.15,27.15,32.95,8.33
S02,8,12,55273,60273,GESTURE,6,Cut Something,1.000,12,77.10,3.11,779.50,32.59,38.45,36.36
S02,8,13,60273,65273,REST,-1,REST,0.001,11,75.59,3.18,795.09,34.22,40.15,20.00
S02,8,14,65273,70273,GESTURE,10,Flexion of Middle Finger,0.966,12,75.59,2.73,794.83,30.06,45.41,27.27
S02,8,15,70273,75273,GESTURE,10,Flexion of Middle Finger,0.677,12,77.56,3.54,775.17,36.11,35.52,27.27
S02,8,16,75273,80273,GESTURE,10,Flexion of Middle Finger,1.000,12,79.60,4.08,755.83,41.32,37.18,18.18
S02,8,17,80273,85273,REST,-1,REST,0.011,11,71.93,2.42,835.09,29.24,35.37,20.00
S02,8,18,85273,90273,GESTURE,4,Wrist Extension,0.966,11,72.01,2.86,834.55,34.05,41.59,30.00
S02,8,19,90273,95273,GESTURE,4,Wrist Extension,0.669,12,75.41,4.01,797.83,42.92,39.33,18.18
S02,8,20,95273,100273,GESTURE,4,Wrist Extension,1.000,11,77.09,5.29,782.00,56.35,45.13,20.00
S02,8,21,100273,105273,REST,-1,REST,0.025,11,73.36,2.57,818.91,29.72,26.37,10.00
S02,8,22,105273,110273,GESTURE,9,Flexion of Thumb,0.945,12,76.90,5.47,784.00,55.78,48.94,27.27
S02,8,23,110273,115273,GESTURE,9,Flexion of Thumb,0.668,11,73.25,4.41,822.00,49.61,53.46,40.00
S02,8,24,115273,120273,GESTURE,9,Flexion of Thumb,1.000,12,75.12,3.44,800.33,37.24,35.58,18.18
S02,8,25,120273,125273,REST,-1,REST,0.046,12,76.25,4.53,789.67,49.41,53.42,27.27
S02,8,26,125273,130273,GESTURE,5,Pointing Index,0.925,13,84.36,5.93,714.77,52.32,24.51,0.00
S02,8,27,130273,135273,GESTURE,5,Pointing Index,0.674,12,77.84,2.84,771.83,28.85,35.19,18.18
S02,8,28,135273,140273,GESTURE,5,Pointing Index,1.000,11,75.26,5.55,801.45,60.56,39.34,20.00
S02,8,29,140273,145273,REST,-1,REST,0.065,12,79.53,3.87,756.17,37.88,38.59,9.09
S02,8,30,145273,150273,GESTURE,8,Tripod Grasp,0.911,12,74.72,6.96,809.67,75.12,40.35,18.18
S02,8,31,150273,155273,GESTURE,8,Tripod Grasp,0.669,11,70.58,3.37,852.00,41.41,56.75,40.00
S02,8,32,155273,160273,GESTURE,8,Tripod Grasp,1.000,11,72.14,2.06,832.36,24.67,20.86,0.00
S02,8,33,160273,165273,REST,-1,REST,0.080,11,73.19,3.35,821.45,38.04,32.80,20.00
S02,8,34,165273,170273,GESTURE,2,Hand Open,0.891,11,73.85,3.97,814.73,43.75,26.31,10.00
S02,8,35,170273,175273,GESTURE,2,Hand Open,0.663,12,76.78,3.66,783.17,38.58,34.53,18.18
S02,8,36,175273,180273,GESTURE,2,Hand Open,1.000,11,73.75,2.08,814.18,23.60,16.95,0.00
S02,8,37,180273,185273,REST,-1,REST,0.115,13,81.91,3.50,733.85,31.88,39.10,33.33
S02,8,38,185273,190273,GESTURE,7,Flexion of Little Finger,0.857,11,73.22,1.97,820.00,22.80,23.72,0.00
S02,8,39,190273,195273,GESTURE,7,Flexion of Little Finger,0.663,12,76.54,3.29,785.33,35.04,32.65,9.09
S02,8,40,195273,200273,GESTURE,7,Flexion of Little Finger,1.000,11,77.08,3.55,780.00,36.44,36.74,20.00
S02,8,41,200273,205273,REST,-1,REST,0.282,11,70.54,3.79,853.27,53.78,81.35,30.00
S02,8,42,205273,210273,GESTURE,1,Hand Close,1.000,11,72.68,1.42,825.82,17.12,21.63,0.00
S02,8,43,210273,215273,GESTURE,1,Hand Close,0.669,12,75.65,4.87,796.33,51.64,35.74,9.09
S02,9,1,243,5243,REST,-1,REST,0.000,13,81.93,4.94,734.92,44.37,48.11,33.33
S02,9,2,5243,10243,REST,-1,REST,0.000,11,70.94,2.42,846.73,29.95,33.17,10.00
S02,9,3,10243,15243,REST,-1,REST,0.000,11,70.38,3.77,854.91,47.20,24.81,0.00
S02,9,4,15243,20243,REST,-1,REST,0.000,11,74.75,6.73,808.91,72.32,47.52,30.00
S02,9,5,20243,25243,REST,-1,REST,0.016,13,85.66,8.89,708.46,80.88,31.02,16.67
S02,9,6,25243,30243,GESTURE,6,Cut Something,1.000,11,75.09,3.79,801.09,43.31,37.68,10.00
S02,9,7,30243,35243,GESTURE,6,Cut Something,0.676,12,73.69,2.57,815.17,28.77,30.09,9.09
S02,9,8,35243,40243,GESTURE,6,Cut Something,0.957,11,74.97,2.53,801.27,28.39,29.00,0.00
S02,9,9,40243,45243,REST,-1,REST,0.012,12,78.98,6.55,765.50,73.88,40.78,9.09
S02,9,10,45243,50243,GESTURE,7,Flexion of Little Finger,1.000,11,73.13,3.72,822.55,42.57,37.38,20.00
S02,9,11,50243,55243,GESTURE,7,Flexion of Little Finger,0.671,12,80.07,4.18,751.33,40.78,30.17,18.18
S02,9,12,55243,60243,GESTURE,7,Flexion of Little Finger,0.962,12,76.42,3.35,786.67,35.80,29.87,0.00
S02,9,13,60243,65243,REST,-1,REST,0.013,12,75.31,1.69,797.17,19.29,24.86,9.09
S02,9,14,65243,70243,GESTURE,1,Hand Close,1.000,12,80.45,4.15,747.83,40.55,40.82,27.27
S02,9,15,70243,75243,GESTURE,1,Hand Close,0.670,12,77.88,2.98,771.50,30.52,29.65,9.09
S02,9,16,75243,80243,GESTURE,1,Hand Close,0.977,11,74.44,4.75,809.27,53.82,38.92,20.00
S02,9,17,80243,85243,REST,-1,REST,0.000,11,69.69,2.97,862.36,35.91,34.62,10.00
S02,9,18,85243,90243,GESTURE,4,Wrist Extension,0.990,11,72.52,2.53,828.36,29.77,34.59,10.00
S02,9,19,90243,95243,GESTURE,4,Wrist Extension,0.676,12,78.62,3.00,764.33,30.93,35.70,18.18
S02,9,20,95243,100243,GESTURE,4,Wrist Extension,0.991,12,75.82,3.60,793.17,39.56,29.77,9.09
S02,9,21,100243,105243,REST,-1,REST,0.000,11,72.43,3.01,829.82,36.34,38.05,30.00
S02,9,22,105243,110243,GESTURE,8,Tripod Grasp,0.982,11,75.11,2.22,799.45,24.10,27.03,10.00
S02,9,23,110243,115243,GESTURE,8,Tripod Grasp,0.664,13,80.64,4.18,746.00,39.34,41.98,25.00
S02,9,24,115243,120243,GESTURE,8,Tripod Grasp,1.000,12,83.03,6.44,726.83,57.20,32.87,9.09
S02,9,25,120243,125243,REST,-1,REST,0.010,13,84.67,2.45,709.23,21.28,23.88,0.00
S02,9,26,125243,130243,GESTURE,3,Wrist Flexion,0.961,14,85.39,4.26,704.43,37.05,26.38,7.69
S02,9,27,130243,135243,GESTURE,3,Wrist Flexion,0.673,13,86.04,3.61,698.62,30.52,32.95,16.67
S02,9,28,135243,140243,GESTURE,3,Wrist Flexion,1.000,12,80.04,3.22,750.83,31.85,30.60,9.09
S02,9,29,140243,145243,REST,-1,REST,0.014,12,75.19,3.86,800.17,43.85,33.71,18.18
S02,9,30,145243,150243,GESTURE,2,Hand Open,0.957,12,77.25,4.84,779.67,49.98,40.43,27.27
S02,9,31,150243,155243,GESTURE,2,Hand Open,0.675,12,78.73,5.45,765.67,54.05,39.32,18.18
S02,9,32,155243,160243,GESTURE,2,Hand Open,1.000,11,71.95,3.33,835.64,39.13,44.83,50.00
S02,9,33,160243,165243,REST,-1,REST,0.019,11,74.92,2.88,802.00,32.74,35.82,20.00
S02,9,34,165243,170243,GESTURE,5,Pointing Index,0.951,12,75.10,3.78,801.00,42.93,35.02,18.18
S02,9,35,170243,175243,GESTURE,5,Pointing Index,0.672,12,85.42,10.50,713.33,92.98,45.25,27.27
S02,9,36,175243,180243,GESTURE,5,Pointing Index,1.000,13,79.25,3.95,758.92,39.17,26.94,8.33
S02,9,37,180243,185243,REST,-1,REST,0.033,12,82.93,10.20,734.50,93.87,42.90,18.18
S02,9,38,185243,190243,GESTURE,10,Flexion of Middle Finger,0.940,12,74.30,3.17,809.00,35.97,33.61,27.27
S02,9,39,190243,195243,GESTURE,10,Flexion of Middle Finger,0.669,11,73.43,3.59,819.09,41.98,43.42,30.00
S02,9,40,195243,200243,GESTURE,10,Flexion of Middle Finger,1.000,10,69.48,1.67,864.00,21.77,20.77,0.00
S02,9,41,200243,205243,REST,-1,REST,0.041,11,69.39,4.66,868.36,56.91,50.33,30.00
S02,9,42,205243,210243,GESTURE,9,Flexion of Thumb,0.932,11,75.35,4.58,799.27,51.50,37.05,20.00
S02,9,43,210243,215243,GESTURE,9,Flexion of Thumb,0.664,12,74.78,2.36,803.17,26.61,28.07,0.00
S02,9,44,215243,220243,GESTURE,9,Flexion of Thumb,1.000,11,73.80,1.43,813.27,16.47,16.32,0.00
S02,10,1,566,5566,REST,-1,REST,0.000,11,66.82,1.92,898.73,27.38,26.83,0.00
S02,10,2,5566,10566,REST,-1,REST,0.000,11,74.40,2.83,807.64,32.17,31.76,20.00
S02,10,3,10566,15566,REST,-1,REST,0.000,12,75.99,2.62,790.50,28.09,35.56,9.09
S02,10,4,15566,20566,REST,-1,REST,0.000,11,73.91,2.68,812.91,31.22,29.08,10.00
S02,10,5,20566,25566,REST,-1,REST,0.060,12,76.84,5.91,785.17,59.22,29.73,9.09
S02,10,6,25566,30566,GESTURE,3,Wrist Flexion,1.000,11,73.30,1.48,818.91,17.35,23.77,0.00
S02,10,7,30566,35566,GESTURE,3,Wrist Flexion,0.669,12,76.43,4.38,787.50,45.52,28.90,9.09
S02,10,8,35566,40566,GESTURE,3,Wrist Flexion,0.925,12,78.13,5.04,771.17,52.78,53.94,36.36
S02,10,9,40566,45566,REST,-1,REST,0.047,10,70.04,0.97,856.80,12.44,15.08,0.00
S02,10,10,45566,50566,GESTURE,9,Flexion of Thumb,1.000,11,70.63,5.00,853.64,61.10,38.43,30.00
S02,10,11,50566,55566,GESTURE,9,Flexion of Thumb,0.669,11,73.38,6.75,824.18,74.08,45.47,20.00
S02,10,12,55566,60566,GESTURE,9,Flexion of Thumb,0.937,15,96.43,9.23,628.40,66.82,23.09,0.00
S02,10,13,60566,65566,REST,-1,REST,0.035,13,81.23,3.66,740.15,34.72,31.19,8.33
S02,10,14,65566,70566,GESTURE,2,Hand Open,1.000,12,77.36,2.91,776.67,30.92,26.32,9.09
S02,10,15,70566,75566,GESTURE,2,Hand Open,0.674,11,78.33,2.79,766.91,28.30,26.99,0.00
S02,10,16,75566,80566,GESTURE,2,Hand Open,0.939,12,77.46,4.58,777.33,48.69,40.72,18.18
S02,10,17,80566,85566,REST,-1,REST,0.039,12,76.83,4.29,783.33,45.52,41.24,36.36
S02,10,18,85566,90566,GESTURE,5,Pointing Index,1.000,11,72.80,2.49,825.09,29.37,26.05,0.00
S02,10,19,90566,95566,GESTURE,5,Pointing Index,0.668,12,76.46,6.48,790.17,66.78,49.20,27.27
S02,10,20,95566,100566,GESTURE,5,Pointing Index,0.948,12,77.18,2.40,778.17,24.87,36.75,36.36
S02,10,21,100566,105566,REST,-1,REST,0.029,11,72.64,4.22,828.73,49.43,44.36,40.00
S02,10,22,105566,110566,GESTURE,4,Wrist Extension,1.000,12,76.17,3.44,789.33,36.38,43.23,36.36
S02,10,23,110566,115566,GESTURE,4,Wrist Extension,0.671,11,76.28,4.12,788.91,45.04,31.13,10.00
S02,10,24,115566,120566,GESTURE,4,Wrist Extension,0.953,13,81.66,8.93,743.85,86.57,33.29,16.67
S02,10,25,120566,125566,REST,-1,REST,0.023,11,75.54,1.84,794.73,20.48,29.46,0.00
S02,10,26,125566,130566,GESTURE,10,Flexion of Middle Finger,1.000,12,74.81,1.82,802.50,20.66,28.46,9.09
S02,10,27,130566,135566,GESTURE,10,Flexion of Middle Finger,0.674,11,76.05,2.52,789.82,27.12,33.38,30.00
S02,10,28,135566,140566,GESTURE,10,Flexion of Middle Finger,0.957,13,80.38,5.79,750.31,55.39,45.23,16.67
S02,10,29,140566,145566,REST,-1,REST,0.013,11,75.97,6.11,794.55,62.05,49.34,30.00
S02,10,30,145566,150566,GESTURE,1,Hand Close,1.000,11,72.48,3.09,829.27,36.84,28.67,10.00
S02,10,31,150566,155566,GESTURE,1,Hand Close,0.668,12,76.29,4.20,788.83,45.50,44.08,27.27
S02,10,32,155566,160566,GESTURE,1,Hand Close,0.987,11,71.63,2.18,838.36,26.27,27.11,10.00
S02,10,33,160566,165566,REST,-1,REST,0.000,11,75.64,4.41,796.00,49.35,37.88,10.00
S02,10,34,165566,170566,GESTURE,8,Tripod Grasp,0.985,12,74.24,4.37,810.83,47.66,38.91,18.18
S02,10,35,170566,175566,GESTURE,8,Tripod Grasp,0.670,10,71.64,2.57,838.60,31.65,52.86,55.56
S02,10,36,175566,180566,GESTURE,8,Tripod Grasp,1.000,11,71.08,1.85,844.73,22.72,31.96,10.00
S02,10,37,180566,185566,REST,-1,REST,0.000,12,76.42,6.10,790.33,67.83,46.20,18.18
S02,10,38,185566,190566,GESTURE,6,Cut Something,0.979,13,82.47,4.16,729.38,37.37,26.08,0.00
S02,10,39,190566,195566,GESTURE,6,Cut Something,0.667,11,74.72,2.15,803.64,23.46,20.41,0.00
S02,10,40,195566,200566,GESTURE,6,Cut Something,1.000,12,75.21,1.63,798.17,18.04,23.82,9.09
S02,10,41,200566,205566,REST,-1,REST,0.013,11,75.57,4.64,796.73,47.12,33.53,10.00
S02,10,42,205566,210566,GESTURE,7,Flexion of Little Finger,0.962,12,77.58,4.60,776.17,48.23,43.78,27.27
S02,10,43,210566,215566,GESTURE,7,Flexion of Little Finger,0.670,12,77.81,14.33,789.33,104.75,165.87,18.18
S03,1,1,269,5269,REST,-1,REST,0.000,10,60.89,3.06,987.80,50.73,66.69,55.56
S03,1,2,5269,10269,REST,-1,REST,0.000,9,62.24,3.33,966.67,52.19,64.90,37.50
S03,1,3,10269,15269,REST,-1,REST,0.000,10,64.27,3.08,935.60,45.71,49.08,55.56
S03,1,4,15269,20269,REST,-1,REST,0.000,9,62.99,2.28,953.78,36.38,47.76,37.50
S03,1,5,20269,25269,REST,-1,REST,0.012,10,65.45,2.78,918.40,40.97,45.77,33.33
S03,1,6,25269,30269,GESTURE,1,Hand Close,1.000,9,62.90,2.08,954.89,34.05,42.02,12.50
S03,1,7,30269,35269,GESTURE,1,Hand Close,0.675,10,64.61,3.10,930.80,45.99,53.99,55.56
S03,1,8,35269,40269,GESTURE,1,Hand Close,0.970,10,63.44,3.31,948.60,56.14,49.98,22.22
S03,1,9,40269,45269,REST,-1,REST,0.003,8,59.40,2.85,1012.50,51.82,37.47,0.00
S03,1,10,45269,50269,GESTURE,10,Flexion of Middle Finger,1.000,10,66.39,3.38,906.20,49.65,43.92,33.33
S03,1,11,50269,55269,GESTURE,10,Flexion of Middle Finger,0.674,10,62.12,1.13,966.20,18.49,28.08,0.00
S03,1,12,55269,60269,GESTURE,10,Flexion of Middle Finger,0.986,9,61.61,3.39,976.67,55.01,61.59,62.50
S03,1,13,60269,65269,REST,-1,REST,0.000,10,63.85,2.12,940.80,32.78,38.07,11.11
S03,1,14,65269,70269,GESTURE,3,Wrist Flexion,0.979,9,61.20,1.95,981.33,32.82,51.25,50.00
S03,1,15,70269,75269,GESTURE,3,Wrist Flexion,0.674,10,63.99,2.10,938.60,32.55,20.77,0.00
S03,1,16,75269,80269,GESTURE,3,Wrist Flexion,1.000,10,69.54,5.90,869.00,77.82,52.57,33.33
S03,1,17,80269,85269,REST,-1,REST,0.006,10,63.30,4.88,953.80,81.71,80.64,55.56
S03,1,18,85269,90269,GESTURE,5,Pointing Index,0.963,9,61.02,2.29,984.67,38.42,59.40,50.00
S03,1,19,90269,95269,GESTURE,5,Pointing Index,0.670,9,61.17,3.25,983.56,54.30,56.47,37.50
S03,1,20,95269,100269,GESTURE,5,Pointing Index,1.000,9,62.70,3.21,959.56,53.76,49.18,12.50
S03,1,21,100269,105269,REST,-1,REST,0.030,11,70.27,5.17,858.73,69.74,42.61,10.00
S03,1,22,105269,110269,GESTURE,2,Hand Open,0.946,10,66.59,3.66,903.80,52.26,63.81,55.56
S03,1,23,110269,115269,GESTURE,2,Hand Open,0.668,10,65.27,2.82,921.00,41.54,53.02,44.44
S03,1,24,115269,120269,GESTURE,2,Hand Open,1.000,9,63.41,1.90,947.11,29.11,48.46,37.50
S03,1,25,120269,125269,REST,-1,REST,0.055,10,63.19,2.64,951.20,41.98,52.83,33.33
S03,1,26,125269,130269,GESTURE,7,Flexion of Little Finger,0.919,10,69.62,5.85,868.00,78.18,51.67,33.33
S03,1,27,130269,135269,GESTURE,7,Flexion of Little Finger,0.671,9,60.70,4.67,994.22,78.58,67.91,62.50
S03,1,28,135269,140269,GESTURE,7,Flexion of Little Finger,1.000,9,57.33,1.47,1047.33,27.91,44.27,37.50
S03,1,29,140269,145269,REST,-1,REST,0.072,9,58.02,2.93,1036.67,54.10,74.68,62.50
S03,1,30,145269,150269,GESTURE,8,Tripod Grasp,0.901,9,62.74,3.80,959.78,61.04,59.20,75.00
S03,1,31,150269,155269,GESTURE,8,Tripod Grasp,0.668,9,58.60,2.26,1025.33,41.16,59.05,37.50
S03,1,32,155269,160269,GESTURE,8,Tripod Grasp,1.000,9,63.49,4.13,949.11,66.63,69.80,50.00
S03,1,33,160269,165269,REST,-1,REST,0.084,10,64.25,5.26,939.60,73.96,50.25,55.56
S03,1,34,165269,170269,GESTURE,4,Wrist Extension,0.893,10,67.54,1.76,889.00,23.91,14.68,0.00
S03,1,35,170269,175269,GESTURE,4,Wrist Extension,0.668,10,63.15,1.91,951.00,29.79,37.78,22.22
S03,1,36,175269,180269,GESTURE,4,Wrist Extension,1.000,9,61.44,1.71,977.33,29.36,43.75,25.00
S03,1,37,180269,185269,REST,-1,REST,0.105,11,68.19,4.42,883.45,57.32,34.62,10.00
S03,1,38,185269,190269,GESTURE,6,Cut Something,0.866,9,63.99,1.55,938.22,24.83,26.12,0.00
S03,1,39,190269,195269,GESTURE,6,Cut Something,0.670,10,65.47,1.30,916.80,19.16,25.43,0.00
S03,1,40,195269,200269,GESTURE,6,Cut Something,1.000,11,72.59,2.99,828.00,36.21,32.30,10.00
S03,1,41,200269,205269,REST,-1,REST,0.130,10,65.43,1.98,917.80,28.90,47.11,33.33
S03,1,42,205269,210269,GESTURE,9,Flexion of Thumb,0.836,10,63.37,2.67,948.40,40.47,51.94,44.44
S03,1,43,210269,215269,GESTURE,9,Flexion of Thumb,0.666,10,65.94,2.06,910.80,30.00,32.61,11.11
