config;peak_mask;patch_overlap;best_test_loss;final_train_loss;final_test_loss;n_params
pm0_po0;0;0;0.3849437522888184;0.38316457407891485;0.3893998599052429;1489280
pm0_po1;0;1;0.23479833006858825;0.2353259027004242;0.23612941145896912;1489280
pm1_po0;1;0;0.3832690095901489;0.38432709304741147;0.3865500402450561;1489280
pm1_po1;1;1;0.23698847591876984;0.23703296328873913;0.23698847591876984;1489280
