repetition;window_id;start_sample;end_sample;label;gesture_id;gesture_name;n_rr;n_valid_rr;n_invalid_rr;is_valid_window;rr_indices;mean_hr_bpm;std_hr_bpm;mean_rr_ms;sdnn_ms;rmssd_ms;pnn50_pct
1;1;0;5000;REST;-1;REST;10;10;0;1;0,1,2,3,4,5,6,7,8,9;70.05;3.89;859.20;50.51;28.91;11.11
1;2;500;5500;REST;-1;REST;11;11;0;1;0,1,2,3,4,5,6,7,8,9,10;70.32;3.81;855.82;49.21;39.52;20.00
1;3;1000;6000;REST;-1;REST;10;10;0;1;2,3,4,5,6,7,8,9,10,11;69.50;3.27;865.20;43.50;40.04;22.22
1;4;1500;6500;REST;-1;REST;11;11;0;1;3,4,5,6,7,8,9,10,11,12,13;69.92;3.33;860.18;44.01;37.77;20.00
1;5;2000;7000;REST;-1;REST;11;11;0;1;4,5,6,7,8,9,10,11,12,13,14;69.62;3.17;863.64;41.99;38.89;20.00
1;6;2500;7500;REST;-1;REST;11;11;0;1;5,6,7,8,9,10,11,12,13,14,15;69.16;3.07;869.27;40.57;39.31;20.00
1;7;3000;8000;REST;-1;REST;10;10;0;1;7,8,9,10,11,12,13,14,15,16;69.09;3.10;870.20;41.10;35.09;11.11
1;8;3500;8500;REST;-1;REST;10;10;0;1;8,9,10,11,12,13,14,15,16,17;68.82;3.44;874.00;46.22;36.70;11.11
1;9;4000;9000;REST;-1;REST;10;10;0;1;9,10,11,12,13,14,15,16,17,18;68.68;3.61;876.00;48.88;36.56;11.11
1;10;4500;9500;REST;-1;REST;10;10;0;1;10,11,12,13,14,15,16,17,18,19;68.18;4.27;883.60;59.79;25.91;0.00
1;11;5000;10000;REST;-1;REST;10;10;0;1;11,12,13,14,15,16,17,18,19,20;66.99;4.42;899.60;62.81;25.57;0.00
1;12;5500;10500;REST;-1;REST;10;10;0;1;12,13,14,15,16,17,18,19,20,21;66.09;4.27;911.60;60.73;26.59;0.00
1;13;6000;11000;REST;-1;REST;10;10;0;1;13,14,15,16,17,18,19,20,21,22;65.09;3.66;924.60;52.82;26.55;0.00
1;14;6500;11500;REST;-1;REST;9;9;0;1;15,16,17,18,19,20,21,22,23;63.40;2.09;947.33;32.42;24.34;0.00
1;15;7000;12000;REST;-1;REST;9;9;0;1;16,17,18,19,20,21,22,23,24;62.91;1.49;954.22;23.63;23.97;0.00
1;16;7500;12500;REST;-1;REST;9;9;0;1;17,18,19,20,21,22,23,24,25;62.80;1.26;955.78;20.46;22.59;0.00
1;17;8000;13000;REST;-1;REST;10;10;0;1;18,19,20,21,22,23,24,25,26,27;63.79;2.55;942.00;38.32;31.84;11.11
1;18;8500;13500;REST;-1;REST;10;10;0;1;19,20,21,22,23,24,25,26,27,28;64.35;3.04;934.40;45.23;30.12;11.11
1;19;9000;14000;REST;-1;REST;10;10;0;1;20,21,22,23,24,25,26,27,28,29;65.01;2.89;924.80;42.71;31.28;11.11
1;20;9500;14500;REST;-1;REST;10;10;0;1;21,22,23,24,25,26,27,28,29,30;65.67;2.67;915.20;39.06;30.12;11.11
1;21;10000;15000;REST;-1;REST;10;10;0;1;22,23,24,25,26,27,28,29,30,31;66.26;2.61;907.00;38.14;30.35;11.11
1;22;10500;15500;REST;-1;REST;10;10;0;1;23,24,25,26,27,28,29,30,31,32;67.36;3.26;892.80;45.29;36.81;22.22
1;23;11000;16000;REST;-1;REST;11;11;0;1;24,25,26,27,28,29,30,31,32,33,34;69.26;4.04;869.09;51.41;40.22;30.00
1;24;11500;16500;REST;-1;REST;11;11;0;1;25,26,27,28,29,30,31,32,33,34,35;70.57;4.17;853.09;51.10;39.28;30.00
1;25;12000;17000;REST;-1;REST;11;11;0;1;26,27,28,29,30,31,32,33,34,35,36;71.18;3.80;845.27;45.81;39.59;30.00
1;26;12500;17500;REST;-1;REST;11;11;0;1;27,28,29,30,31,32,33,34,35,36,37;71.24;3.78;844.55;45.58;38.15;30.00
1;27;13000;18000;REST;-1;REST;10;10;0;1;29,30,31,32,33,34,35,36,37,38;71.65;3.69;839.60;44.41;38.08;33.33
1;28;13500;18500;REST;-1;REST;10;10;0;1;30,31,32,33,34,35,36,37,38,39;71.62;3.73;840.00;44.95;38.86;33.33
1;29;14000;19000;REST;-1;REST;11;11;0;1;31,32,33,34,35,36,37,38,39,40,41;70.60;4.58;853.45;58.12;39.51;30.00
1;30;14500;19500;REST;-1;REST;11;11;0;1;32,33,34,35,36,37,38,39,40,41,42;70.70;4.55;852.18;57.78;45.95;30.00
1;31;15000;20000;REST;-1;REST;11;11;0;1;33,34,35,36,37,38,39,40,41,42,43;71.03;4.90;848.73;61.56;53.35;40.00
1;32;15500;20500;REST;-1;REST;11;11;0;1;34,35,36,37,38,39,40,41,42,43,44;71.30;5.04;845.82;63.27;50.29;30.00
1;33;16000;21000;REST;-1;REST;11;11;0;1;36,37,38,39,40,41,42,43,44,45,46;71.69;5.59;842.00;68.57;48.52;20.00
1;34;16500;21500;REST;-1;REST;11;11;0;1;37,38,39,40,41,42,43,44,45,46,47;72.21;5.84;836.36;71.60;48.88;20.00
1;35;17000;22000;REST;-1;REST;11;11;0;1;38,39,40,41,42,43,44,45,46,47,48;71.67;6.26;843.64;77.40;70.12;30.00
1;36;17500;22500;REST;-1;REST;11;11;0;1;39,40,41,42,43,44,45,46,47,48,49;71.91;6.20;840.73;76.82;75.78;40.00
1;37;18000;23000;REST;-1;REST;11;11;0;1;40,41,42,43,44,45,46,47,48,49,50;72.70;6.07;831.27;75.73;77.03;40.00
1;38;18500;23500;REST;-1;REST;11;11;0;1;41,42,43,44,45,46,47,48,49,50,51;73.12;5.71;825.82;71.03;78.53;50.00
1;39;19000;24000;REST;-1;REST;11;11;0;1;43,44,45,46,47,48,49,50,51,52,53;72.79;5.96;830.00;73.87;69.96;40.00
1;40;19500;24500;REST;-1;REST;11;11;0;1;44,45,46,47,48,49,50,51,52,53,54;71.88;5.90;840.36;72.91;72.02;50.00
1;41;20000;25000;REST;-1;REST;11;11;0;1;45,46,47,48,49,50,51,52,53,54,55;71.19;5.92;848.55;72.73;70.54;50.00
1;42;25285;30285;GESTURE;9;Flexion of Thumb;11;11;0;1;58,59,60,61,62,63,64,65,66,67,68;78.47;8.19;773.45;88.59;39.96;10.00
1;43;25785;30785;GESTURE;9;Flexion of Thumb;11;11;0;1;59,60,61,62,63,64,65,66,67,68,69;76.89;9.11;791.64;100.33;43.58;20.00
1;44;26285;31285;GESTURE;9;Flexion of Thumb;11;11;0;1;60,61,62,63,64,65,66,67,68,69,70;75.02;9.56;812.73;106.57;43.28;20.00
1;45;26785;31785;GESTURE;9;Flexion of Thumb;10;10;0;1;62,63,64,65,66,67,68,69,70,71;71.12;8.32;854.60;98.55;45.03;22.22
1;46;33671;38671;GESTURE;9;Flexion of Thumb;10;10;0;1;77,78,79,80,81,82,83,84,85,86;67.26;2.82;893.60;39.67;23.67;0.00
1;47;34171;39171;GESTURE;9;Flexion of Thumb;11;11;0;1;78,79,80,81,82,83,84,85,86,87,88;68.05;2.31;882.73;31.45;23.98;0.00
1;48;34671;39671;GESTURE;9;Flexion of Thumb;11;11;0;1;79,80,81,82,83,84,85,86,87,88,89;68.19;2.08;880.73;27.79;23.98;0.00
1;49;35171;40171;GESTURE;9;Flexion of Thumb;11;11;0;1;80,81,82,83,84,85,86,87,88,89,90;67.93;2.43;884.36;33.22;23.55;0.00
1;50;40302;45302;REST;-1;REST;10;10;0;1;92,93,94,95,96,97,98,99,100,101;68.98;5.76;875.80;74.98;36.90;22.22
1;51;45422;50422;GESTURE;10;Flexion of Middle Finger;12;12;0;1;104,105,106,107,108,109,110,111,112,113,114,115;79.86;3.20;752.50;31.80;18.52;0.00
1;52;45922;50922;GESTURE;10;Flexion of Middle Finger;12;12;0;1;105,106,107,108,109,110,111,112,113,114,115,116;80.38;3.22;747.67;31.98;18.47;0.00
1;53;46422;51422;GESTURE;10;Flexion of Middle Finger;13;13;0;1;106,107,108,109,110,111,112,113,114,115,116,117,118;80.39;3.12;747.54;30.94;18.14;0.00
1;54;46922;51922;GESTURE;10;Flexion of Middle Finger;13;13;0;1;107,108,109,110,111,112,113,114,115,116,117,118,119;80.46;2.99;746.77;29.34;17.65;0.00
1;55;53802;58802;GESTURE;10;Flexion of Middle Finger;12;12;0;1;125,126,127,128,129,130,131,132,133,134,135,136;78.89;4.60;763.17;47.06;26.72;0.00
1;56;54302;59302;GESTURE;10;Flexion of Middle Finger;11;11;0;1;127,128,129,130,131,132,133,134,135,136,137;79.13;4.92;761.27;51.60;26.53;0.00
1;57;54802;59802;GESTURE;10;Flexion of Middle Finger;12;12;0;1;128,129,130,131,132,133,134,135,136,137,138,139;76.85;7.36;788.50;84.57;32.24;9.09
1;58;55302;60302;GESTURE;10;Flexion of Middle Finger;12;12;0;1;129,130,131,132,133,134,135,136,137,138,139,140;75.47;8.35;805.33;97.87;30.43;9.09
1;59;60472;65472;REST;-1;REST;10;10;0;1;142,143,144,145,146,147,148,149,150,151;65.70;1.85;914.00;27.06;24.41;0.00
1;60;65607;70607;GESTURE;2;Hand Open;10;10;0;1;153,154,155,156,157,158,159,160,161,162;68.27;1.27;879.20;17.52;11.35;0.00
1;61;66107;71107;GESTURE;2;Hand Open;11;11;0;1;154,155,156,157,158,159,160,161,162,163,164;68.11;1.41;881.27;19.27;18.13;0.00
1;62;66607;71607;GESTURE;2;Hand Open;11;11;0;1;155,156,157,158,159,160,161,162,163,164,165;68.01;1.36;882.55;18.61;19.01;0.00
1;63;67107;72107;GESTURE;2;Hand Open;10;10;0;1;157,158,159,160,161,162,163,164,165,166;67.73;1.24;886.20;17.11;19.82;0.00
1;64;73864;78864;GESTURE;2;Hand Open;10;10;0;1;172,173,174,175,176,177,178,179,180,181;69.90;2.21;859.20;28.58;23.30;0.00
1;65;74364;79364;GESTURE;2;Hand Open;11;11;0;1;173,174,175,176,177,178,179,180,181,182,183;69.58;1.79;862.91;23.26;20.14;0.00
1;66;74864;79864;GESTURE;2;Hand Open;11;11;0;1;174,175,176,177,178,179,180,181,182,183,184;69.76;1.96;860.73;25.41;20.76;0.00
1;67;75364;80364;GESTURE;2;Hand Open;11;11;0;1;175,176,177,178,179,180,181,182,183,184,185;70.24;2.33;855.09;29.67;18.85;0.00
1;68;80523;85523;REST;-1;REST;11;11;0;1;188,189,190,191,192,193,194,195,196,197,198;76.80;4.18;783.64;46.62;34.57;10.00
1;69;85651;90651;GESTURE;7;Flexion of Little Finger;10;10;0;1;201,202,203,204,205,206,207,208,209,210;66.88;1.79;897.80;25.01;21.03;0.00
1;70;86151;91151;GESTURE;7;Flexion of Little Finger;10;10;0;1;202,203,204,205,206,207,208,209,210,211;66.78;1.94;899.20;27.41;22.92;0.00
1;71;86651;91651;GESTURE;7;Flexion of Little Finger;10;10;0;1;203,204,205,206,207,208,209,210,211,212;66.57;2.24;902.40;32.32;21.85;0.00
