repetition;window_id;start_sample;end_sample;label;gesture_id;gesture_name;n_rr;n_valid_rr;n_invalid_rr;is_valid_window;rr_indices;mean_hr_bpm;std_hr_bpm;mean_rr_ms;sdnn_ms;rmssd_ms;pnn50_pct
1;1;0;5000;REST;-1;REST;10;10;0;1;0,1,2,3,4,5,6,7,8,9;71.56;4.60;841.80;55.88;61.13;44.44
1;2;500;5500;REST;-1;REST;10;10;0;1;1,2,3,4,5,6,7,8,9,10;71.62;4.51;841.00;54.48;62.26;55.56
1;3;1000;6000;REST;-1;REST;10;10;0;1;2,3,4,5,6,7,8,9,10,11;71.31;4.91;845.40;60.66;62.08;55.56
1;4;1500;6500;REST;-1;REST;10;10;0;1;3,4,5,6,7,8,9,10,11,12;71.17;5.00;847.20;61.86;45.76;44.44
1;5;2000;7000;REST;-1;REST;11;11;0;1;4,5,6,7,8,9,10,11,12,13,14;69.06;4.18;872.00;54.86;39.92;30.00
1;6;2500;7500;REST;-1;REST;11;11;0;1;5,6,7,8,9,10,11,12,13,14,15;68.36;3.81;880.36;50.28;42.26;30.00
1;7;3000;8000;REST;-1;REST;10;10;0;1;7,8,9,10,11,12,13,14,15,16;67.47;3.30;891.40;44.27;35.85;22.22
1;8;3500;8500;REST;-1;REST;10;10;0;1;8,9,10,11,12,13,14,15,16,17;67.36;3.13;892.60;42.30;41.29;33.33
1;9;4000;9000;REST;-1;REST;11;11;0;1;9,10,11,12,13,14,15,16,17,18,19;70.58;8.62;861.09;94.59;58.33;30.00
1;10;4500;9500;REST;-1;REST;11;11;0;1;10,11,12,13,14,15,16,17,18,19,20;72.59;10.37;841.82;112.12;56.14;20.00
1;11;5000;10000;REST;-1;REST;11;11;0;1;11,12,13,14,15,16,17,18,19,20,21;74.98;11.31;817.64;120.96;55.97;20.00
1;12;5500;10500;REST;-1;REST;12;12;0;1;12,13,14,15,16,17,18,19,20,21,22,23;76.40;10.34;799.50;109.86;60.26;27.27
1;13;6000;11000;REST;-1;REST;12;12;0;1;13,14,15,16,17,18,19,20,21,22,23,24;76.57;10.20;797.33;108.12;65.30;36.36
1;14;6500;11500;REST;-1;REST;12;12;0;1;14,15,16,17,18,19,20,21,22,23,24,25;76.59;10.18;797.00;107.71;66.74;36.36
