repetition;window_id;start_sample;end_sample;label;gesture_id;gesture_name;n_rr;n_valid_rr;n_invalid_rr;is_valid_window;rr_indices;mean_hr_bpm;std_hr_bpm;mean_rr_ms;sdnn_ms;rmssd_ms;pnn50_pct
1;1;0;5000;REST;-1;REST;13;13;0;1;0,1,2,3,4,5,6,7,8,9,10,11,12;86.33;6.92;699.69;60.55;38.72;25.00
1;2;500;5500;REST;-1;REST;13;13;0;1;1,2,3,4,5,6,7,8,9,10,11,12,13;86.59;6.49;696.92;55.61;36.48;25.00
1;3;1000;6000;REST;-1;REST;13;13;0;1;2,3,4,5,6,7,8,9,10,11,12,13,14;86.60;6.47;696.77;55.42;33.57;16.67
1;4;1500;6500;REST;-1;REST;13;13;0;1;4,5,6,7,8,9,10,11,12,13,14,15,16;85.74;6.96;704.46;59.62;33.90;16.67
1;5;2000;7000;REST;-1;REST;13;13;0;1;5,6,7,8,9,10,11,12,13,14,15,16,17;85.38;7.05;707.54;60.18;33.80;16.67
1;6;2500;7500;REST;-1;REST;14;14;0;1;6,7,8,9,10,11,12,13,14,15,16,17,18,19;85.14;6.82;709.14;57.91;34.09;15.38
1;7;3000;8000;REST;-1;REST;13;13;0;1;8,9,10,11,12,13,14,15,16,17,18,19,20;84.13;6.45;717.23;55.01;34.19;16.67
1;8;3500;8500;REST;-1;REST;12;12;0;1;10,11,12,13,14,15,16,17,18,19,20,21;82.03;4.24;733.33;38.89;35.24;18.18
1;9;4000;9000;REST;-1;REST;13;13;0;1;11,12,13,14,15,16,17,18,19,20,21,22,23;80.67;3.34;745.08;31.84;31.72;8.33
1;10;4500;9500;REST;-1;REST;13;13;0;1;12,13,14,15,16,17,18,19,20,21,22,23,24;80.41;3.22;747.38;30.62;22.61;0.00
1;11;5000;10000;REST;-1;REST;12;12;0;1;14,15,16,17,18,19,20,21,22,23,24,25;81.10;2.77;740.67;25.82;22.15;0.00
1;12;5500;10500;REST;-1;REST;13;13;0;1;15,16,17,18,19,20,21,22,23,24,25,26,27;80.81;2.83;743.38;26.44;22.58;0.00
1;13;6000;11000;REST;-1;REST;13;13;0;1;16,17,18,19,20,21,22,23,24,25,26,27,28;81.04;2.76;741.23;25.75;23.28;0.00
1;14;6500;11500;REST;-1;REST;12;12;0;1;18,19,20,21,22,23,24,25,26,27,28,29;81.55;3.34;737.00;30.95;28.03;0.00
1;15;7000;12000;REST;-1;REST;13;13;0;1;19,20,21,22,23,24,25,26,27,28,29,30,31;82.33;3.81;730.31;34.97;24.63;0.00
1;16;7500;12500;REST;-1;REST;12;12;0;1;21,22,23,24,25,26,27,28,29,30,31,32;81.85;3.63;734.50;33.50;25.15;0.00
1;17;8000;13000;REST;-1;REST;13;13;0;1;22,23,24,25,26,27,28,29,30,31,32,33,34;82.73;4.19;727.08;38.01;23.00;0.00
1;18;8500;13500;REST;-1;REST;13;13;0;1;23,24,25,26,27,28,29,30,31,32,33,34,35;83.53;4.18;720.15;37.74;23.23;0.00
1;19;9000;14000;REST;-1;REST;12;12;0;1;25,26,27,28,29,30,31,32,33,34,35,36;84.41;3.81;712.33;34.37;24.06;0.00
1;20;9500;14500;REST;-1;REST;13;13;0;1;26,27,28,29,30,31,32,33,34,35,36,37,38;84.02;3.91;715.69;35.12;24.72;0.00
1;21;10000;15000;REST;-1;REST;13;13;0;1;27,28,29,30,31,32,33,34,35,36,37,38,39;84.35;3.52;712.62;31.32;25.73;0.00
1;22;10500;15500;REST;-1;REST;13;13;0;1;29,30,31,32,33,34,35,36,37,38,39,40,41;84.34;3.49;712.62;30.97;20.84;0.00
1;23;11000;16000;REST;-1;REST;13;13;0;1;30,31,32,33,34,35,36,37,38,39,40,41,42;83.71;3.66;718.15;32.59;20.82;0.00
1;24;11500;16500;REST;-1;REST;13;13;0;1;31,32,33,34,35,36,37,38,39,40,41,42,43;83.20;3.53;722.46;31.38;21.48;0.00
1;25;12000;17000;REST;-1;REST;13;13;0;1;33,34,35,36,37,38,39,40,41,42,43,44,45;83.64;3.89;718.92;34.48;26.10;8.33
1;26;12500;17500;REST;-1;REST;13;13;0;1;34,35,36,37,38,39,40,41,42,43,44,45,46;83.66;3.91;718.77;34.59;25.17;8.33
1;27;13000;18000;REST;-1;REST;12;12;0;1;36,37,38,39,40,41,42,43,44,45,46,47;82.81;3.31;725.67;29.77;25.29;9.09
1;28;13500;18500;REST;-1;REST;13;13;0;1;37,38,39,40,41,42,43,44,45,46,47,48,49;82.31;3.20;730.00;28.61;24.07;8.33
1;29;14000;19000;REST;-1;REST;13;13;0;1;38,39,40,41,42,43,44,45,46,47,48,49,50;82.57;3.19;727.69;28.60;24.89;8.33
1;30;14500;19500;REST;-1;REST;13;13;0;1;40,41,42,43,44,45,46,47,48,49,50,51,52;84.14;4.15;714.77;36.12;27.48;8.33
1;31;15000;20000;REST;-1;REST;13;13;0;1;41,42,43,44,45,46,47,48,49,50,51,52,53;84.83;4.29;709.08;37.28;27.31;8.33
1;32;15500;20500;REST;-1;REST;13;13;0;1;43,44,45,46,47,48,49,50,51,52,53,54,55;85.81;3.55;700.46;30.33;28.29;8.33
1;33;16000;21000;REST;-1;REST;13;13;0;1;44,45,46,47,48,49,50,51,52,53,54,55,56;86.44;3.38;695.23;28.77;25.83;0.00
1;34;16500;21500;REST;-1;REST;14;14;0;1;45,46,47,48,49,50,51,52,53,54,55,56,57,58;85.90;3.54;699.71;30.20;28.91;0.00
1;35;17000;22000;REST;-1;REST;13;13;0;1;47,48,49,50,51,52,53,54,55,56,57,58,59;84.81;4.64;709.69;41.78;34.02;8.33
1;36;17500;22500;REST;-1;REST;13;13;0;1;48,49,50,51,52,53,54,55,56,57,58,59,60;84.26;5.08;714.77;45.90;33.25;8.33
1;37;18000;23000;REST;-1;REST;13;13;0;1;49,50,51,52,53,54,55,56,57,58,59,60,61;84.55;4.94;712.15;44.80;37.97;16.67
1;38;18500;23500;REST;-1;REST;13;13;0;1;51,52,53,54,55,56,57,58,59,60,61,62,63;84.22;5.10;715.08;46.11;36.15;16.67
1;39;19000;24000;REST;-1;REST;13;13;0;1;52,53,54,55,56,57,58,59,60,61,62,63,64;83.77;4.82;718.62;43.74;37.06;16.67
1;40;19500;24500;REST;-1;REST;13;13;0;1;54,55,56,57,58,59,60,61,62,63,64,65,66;82.25;3.87;731.08;36.16;37.81;16.67
1;41;20000;25000;REST;-1;REST;13;13;0;1;55,56,57,58,59,60,61,62,63,64,65,66,67;81.92;3.65;733.85;34.25;37.39;16.67
1;42;25191;30191;GESTURE;9;Flexion of Thumb;11;11;0;1;70,71,72,73,74,75,76,77,78,79,80;73.35;5.24;822.00;58.27;45.10;30.00
1;43;25691;30691;GESTURE;9;Flexion of Thumb;11;11;0;1;71,72,73,74,75,76,77,78,79,80,81;72.27;3.67;832.36;43.43;41.16;20.00
1;44;26191;31191;GESTURE;9;Flexion of Thumb;11;11;0;1;72,73,74,75,76,77,78,79,80,81,82;71.57;3.09;839.82;37.10;31.59;10.00
1;45;26691;31691;GESTURE;9;Flexion of Thumb;11;11;0;1;74,75,76,77,78,79,80,81,82,83,84;72.57;3.31;828.55;39.72;34.59;10.00
1;46;33457;38457;GESTURE;9;Flexion of Thumb;13;13;0;1;90,91,92,93,94,95,96,97,98,99,100,101,102;84.23;7.97;719.08;74.79;43.57;33.33
1;47;33957;38957;GESTURE;9;Flexion of Thumb;13;13;0;1;91,92,93,94,95,96,97,98,99,100,101,102,103;83.94;8.26;722.15;77.74;37.09;25.00
1;48;34457;39457;GESTURE;9;Flexion of Thumb;12;12;0;1;93,94,95,96,97,98,99,100,101,102,103,104;82.62;9.07;735.17;85.58;36.02;27.27
1;49;34957;39957;GESTURE;9;Flexion of Thumb;12;12;0;1;94,95,96,97,98,99,100,101,102,103,104,105;80.98;9.40;750.83;89.29;36.68;27.27
1;50;40083;45083;REST;-1;REST;12;12;0;1;108,109,110,111,112,113,114,115,116,117,118,119;79.15;4.97;761.00;48.93;33.99;18.18
1;51;45239;50239;GESTURE;6;Cut Something;12;12;0;1;121,122,123,124,125,126,127,128,129,130,131,132;75.67;3.56;794.67;39.76;44.22;36.36
1;52;45739;50739;GESTURE;6;Cut Something;12;12;0;1;122,123,124,125,126,127,128,129,130,131,132,133;76.22;4.45;789.83;47.41;42.61;27.27
1;53;46239;51239;GESTURE;6;Cut Something;11;11;0;1;124,125,126,127,128,129,130,131,132,133,134;76.67;4.62;785.45;49.57;42.03;30.00
1;54;46739;51739;GESTURE;6;Cut Something;12;12;0;1;125,126,127,128,129,130,131,132,133,134,135,136;77.20;4.31;779.67;46.11;40.25;27.27
1;55;53525;58525;GESTURE;6;Cut Something;12;12;0;1;142,143,144,145,146,147,148,149,150,151,152,153;77.30;4.80;779.00;47.22;24.70;0.00
1;56;54025;59025;GESTURE;6;Cut Something;11;11;0;1;144,145,146,147,148,149,150,151,152,153,154;75.36;2.31;796.91;25.02;22.60;0.00
1;57;54525;59525;GESTURE;6;Cut Something;12;12;0;1;145,146,147,148,149,150,151,152,153,154,155,156;75.28;1.90;797.50;20.96;19.42;0.00
1;58;55025;60025;GESTURE;6;Cut Something;12;12;0;1;146,147,148,149,150,151,152,153,154,155,156,157;75.50;2.12;795.33;23.25;19.45;0.00
1;59;60178;65178;REST;-1;REST;12;12;0;1;159,160,161,162,163,164,165,166,167,168,169,170;78.36;4.20;767.83;42.05;36.23;9.09
1;60;65324;70324;GESTURE;1;Hand Close;11;11;0;1;173,174,175,176,177,178,179,180,181,182,183;73.89;10.24;828.18;123.06;89.59;30.00
1;61;65824;70824;GESTURE;1;Hand Close;11;11;0;1;174,175,176,177,178,179,180,181,182,183,184;72.77;9.53;838.91;115.69;97.85;40.00
1;62;66324;71324;GESTURE;1;Hand Close;10;10;0;1;176,177,178,179,180,181,182,183,184,185;71.02;8.75;857.40;108.26;103.55;44.44
1;63;66824;71824;GESTURE;1;Hand Close;11;11;0;1;177,178,179,180,181,182,183,184,185,186,187;71.44;8.29;851.27;103.54;98.40;40.00
1;64;73631;78631;GESTURE;1;Hand Close;11;11;0;1;194,195,196,197,198,199,200,201,202,203,204;72.31;1.99;830.36;24.26;20.38;0.00
1;65;74131;79131;GESTURE;1;Hand Close;11;11;0;1;195,196,197,198,199,200,201,202,203,204,205;72.62;2.61;827.27;30.45;26.34;10.00
1;66;74631;79631;GESTURE;1;Hand Close;11;11;0;1;196,197,198,199,200,201,202,203,204,205,206;73.32;3.53;820.18;39.92;26.97;10.00
1;67;75131;80131;GESTURE;1;Hand Close;12;12;0;1;197,198,199,200,201,202,203,204,205,206,207,208;75.22;5.35;801.50;57.00;28.09;9.09
1;68;80259;85259;REST;-1;REST;12;12;0;1;210,211,212,213,214,215,216,217,218,219,220,221;79.17;8.36;766.50;86.03;63.66;54.55
1;69;85445;90445;GESTURE;2;Hand Open;12;12;0;1;224,225,226,227,228,229,230,231,232,233,234,235;78.11;6.44;773.33;65.81;41.65;9.09
1;70;85945;90945;GESTURE;2;Hand Open;13;13;0;1;225,226,227,228,229,230,231,232,233,234,235,236,237;79.90;8.09;758.46;78.11;38.72;8.33
1;71;86445;91445;GESTURE;2;Hand Open;12;12;0;1;227,228,229,230,231,232,233,234,235,236,237,238;80.85;8.38;750.17;81.74;40.30;9.09
1;72;86945;91945;GESTURE;2;Hand Open;12;12;0;1;228,229,230,231,232,233,234,235,236,237,238,239;81.59;8.34;743.33;81.90;39.53;9.09
1;73;93675;98675;GESTURE;2;Hand Open;13;13;0;1;245,246,247,248,249,250,251,252,253,254,255,256,257;80.51;6.07;749.54;59.23;31.33;0.00
1;74;94175;99175;GESTURE;2;Hand Open;12;12;0;1;247,248,249,250,251,252,253,254,255,256,257,258;82.35;4.91;731.17;45.61;39.85;9.09
1;75;94675;99675;GESTURE;2;Hand Open;13;13;0;1;248,249,250,251,252,253,254,255,256,257,258,259,260;83.95;5.23;717.54;47.64;40.43;8.33
1;76;95175;100175;GESTURE;2;Hand Open;13;13;0;1;249,250,251,252,253,254,255,256,257,258,259,260,261;84.75;4.94;710.46;44.99;40.43;8.33
1;77;100314;105314;REST;-1;REST;12;12;0;1;264,265,266,267,268,269,270,271,272,273,274,275;81.82;6.97;738.83;68.19;33.51;18.18
1;78;105471;110471;GESTURE;7;Flexion of Little Finger;11;11;0;1;278,279,280,281,282,283,284,285,286,287,288;72.93;3.83;824.91;44.47;20.60;0.00
1;79;105971;110971;GESTURE;7;Flexion of Little Finger;11;11;0;1;279,280,281,282,283,284,285,286,287,288,289;72.11;3.18;833.64;37.63;20.99;0.00
1;80;106471;111471;GESTURE;7;Flexion of Little Finger;11;11;0;1;280,281,282,283,284,285,286,287,288,289,290;71.58;2.60;839.27;31.24;19.07;0.00
