repetition;window_id;start_sample;end_sample;label;gesture_id;gesture_name;n_rr;n_valid_rr;n_invalid_rr;is_valid_window;rr_indices;mean_hr_bpm;std_hr_bpm;mean_rr_ms;sdnn_ms;rmssd_ms;pnn50_pct
1;1;0;5000;REST;-1;REST;11;11;0;1;0,1,2,3,4,5,6,7,8,9,10;75.08;3.48;800.91;38.69;45.47;30.00
1;2;500;5500;REST;-1;REST;12;12;0;1;1,2,3,4,5,6,7,8,9,10,11,12;76.34;4.03;788.17;43.81;43.80;27.27
1;3;1000;6000;REST;-1;REST;12;12;0;1;2,3,4,5,6,7,8,9,10,11,12,13;76.57;3.93;785.67;42.80;42.98;27.27
1;4;1500;6500;REST;-1;REST;12;12;0;1;3,4,5,6,7,8,9,10,11,12,13,14;76.30;3.80;788.33;41.35;41.93;27.27
1;5;2000;7000;REST;-1;REST;11;11;0;1;5,6,7,8,9,10,11,12,13,14,15;76.98;4.17;781.82;45.49;44.40;30.00
1;6;2500;7500;REST;-1;REST;12;12;0;1;6,7,8,9,10,11,12,13,14,15,16,17;76.68;4.16;784.83;45.15;46.53;27.27
1;7;3000;8000;REST;-1;REST;12;12;0;1;7,8,9,10,11,12,13,14,15,16,17,18;76.46;4.22;787.17;45.59;42.34;18.18
1;8;3500;8500;REST;-1;REST;12;12;0;1;8,9,10,11,12,13,14,15,16,17,18,19;76.89;3.88;782.33;41.70;42.42;18.18
1;9;4000;9000;REST;-1;REST;11;11;0;1;10,11,12,13,14,15,16,17,18,19,20;77.29;3.74;778.18;39.98;39.37;20.00
1;10;4500;9500;REST;-1;REST;12;12;0;1;11,12,13,14,15,16,17,18,19,20,21,22;76.55;4.13;786.17;45.08;52.25;27.27
1;11;5000;10000;REST;-1;REST;12;12;0;1;12,13,14,15,16,17,18,19,20,21,22,23;76.55;4.13;786.17;45.08;51.90;27.27
1;12;5500;10500;REST;-1;REST;11;11;0;1;14,15,16,17,18,19,20,21,22,23,24;76.17;3.92;789.82;43.49;51.22;20.00
1;13;6000;11000;REST;-1;REST;12;12;0;1;15,16,17,18,19,20,21,22,23,24,25,26;76.43;3.98;787.17;43.82;50.42;27.27
1;14;6500;11500;REST;-1;REST;12;12;0;1;16,17,18,19,20,21,22,23,24,25,26,27;76.29;3.82;788.50;42.27;49.02;27.27
1;15;7000;12000;REST;-1;REST;12;12;0;1;17,18,19,20,21,22,23,24,25,26,27,28;76.29;3.82;788.50;42.27;47.20;27.27
1;16;7500;12500;REST;-1;REST;11;11;0;1;19,20,21,22,23,24,25,26,27,28,29;76.85;3.76;782.73;42.10;48.88;30.00
1;17;8000;13000;REST;-1;REST;12;12;0;1;20,21,22,23,24,25,26,27,28,29,30,31;76.65;3.70;784.67;41.16;43.64;18.18
1;18;8500;13500;REST;-1;REST;12;12;0;1;21,22,23,24,25,26,27,28,29,30,31,32;76.96;3.31;781.17;36.43;43.45;18.18
1;19;9000;14000;REST;-1;REST;12;12;0;1;22,23,24,25,26,27,28,29,30,31,32,33;77.59;2.37;774.00;24.83;25.70;9.09
1;20;9500;14500;REST;-1;REST;12;12;0;1;24,25,26,27,28,29,30,31,32,33,34,35;77.89;2.88;771.33;29.41;28.55;9.09
1;21;10000;15000;REST;-1;REST;12;12;0;1;25,26,27,28,29,30,31,32,33,34,35,36;78.35;3.28;767.17;33.22;27.10;9.09
1;22;10500;15500;REST;-1;REST;12;12;0;1;26,27,28,29,30,31,32,33,34,35,36,37;78.69;3.15;763.67;31.86;24.10;0.00
1;23;11000;16000;REST;-1;REST;12;12;0;1;28,29,30,31,32,33,34,35,36,37,38,39;78.82;3.43;762.67;34.34;27.88;9.09
1;24;11500;16500;REST;-1;REST;12;12;0;1;29,30,31,32,33,34,35,36,37,38,39,40;79.30;3.62;758.17;36.21;27.88;9.09
1;25;12000;17000;REST;-1;REST;12;12;0;1;30,31,32,33,34,35,36,37,38,39,40,41;79.44;3.56;756.83;35.62;30.88;9.09
1;26;12500;17500;REST;-1;REST;13;13;0;1;31,32,33,34,35,36,37,38,39,40,41,42,43;79.60;3.46;755.23;34.59;31.69;8.33
1;27;13000;18000;REST;-1;REST;12;12;0;1;33,34,35,36,37,38,39,40,41,42,43,44;79.95;3.41;751.83;34.46;34.95;9.09
1;28;13500;18500;REST;-1;REST;12;12;0;1;34,35,36,37,38,39,40,41,42,43,44,45;79.34;4.41;758.67;46.56;34.95;9.09
1;29;14000;19000;REST;-1;REST;12;12;0;1;35,36,37,38,39,40,41,42,43,44,45,46;78.62;4.86;766.17;51.33;34.50;9.09
1;30;14500;19500;REST;-1;REST;12;12;0;1;37,38,39,40,41,42,43,44,45,46,47,48;77.66;4.27;775.00;45.75;38.45;18.18
1;31;15000;20000;REST;-1;REST;12;12;0;1;38,39,40,41,42,43,44,45,46,47,48,49;77.47;4.24;776.83;45.36;38.40;18.18
1;32;15500;20500;REST;-1;REST;12;12;0;1;39,40,41,42,43,44,45,46,47,48,49,50;77.31;4.25;778.50;45.30;35.14;9.09
1;33;16000;21000;REST;-1;REST;12;12;0;1;41,42,43,44,45,46,47,48,49,50,51,52;77.12;4.21;780.33;44.57;38.13;18.18
1;34;16500;21500;REST;-1;REST;12;12;0;1;42,43,44,45,46,47,48,49,50,51,52,53;77.68;4.77;775.33;49.64;37.23;18.18
1;35;17000;22000;REST;-1;REST;12;12;0;1;43,44,45,46,47,48,49,50,51,52,53,54;78.03;5.17;772.33;53.19;34.81;18.18
1;36;17500;22500;REST;-1;REST;12;12;0;1;45,46,47,48,49,50,51,52,53,54,55,56;79.05;5.04;762.17;51.79;38.54;27.27
