repetition;window_id;start_sample;end_sample;label;gesture_id;gesture_name;n_rr;n_valid_rr;n_invalid_rr;is_valid_window;rr_indices;mean_hr_bpm;std_hr_bpm;mean_rr_ms;sdnn_ms;rmssd_ms;pnn50_pct
1;1;0;5000;REST;-1;REST;9;9;0;1;0,1,2,3,4,5,6,7,8;61.74;3.52;974.89;58.46;67.69;50.00
1;2;500;5500;REST;-1;REST;9;9;0;1;1,2,3,4,5,6,7,8,9;61.09;3.15;984.67;52.55;66.16;50.00
1;3;1000;6000;REST;-1;REST;9;9;0;1;2,3,4,5,6,7,8,9,10;60.70;3.10;990.89;51.51;65.25;50.00
1;4;1500;6500;REST;-1;REST;9;9;0;1;3,4,5,6,7,8,9,10,11;60.58;3.12;992.89;51.64;65.26;50.00
1;5;2000;7000;REST;-1;REST;9;9;0;1;4,5,6,7,8,9,10,11,12;61.09;3.48;985.33;57.72;62.66;50.00
1;6;2500;7500;REST;-1;REST;9;9;0;1;5,6,7,8,9,10,11,12,13;60.17;2.48;998.89;42.83;60.37;50.00
1;7;3000;8000;REST;-1;REST;9;9;0;1;6,7,8,9,10,11,12,13,14;59.99;2.46;1001.78;42.42;52.17;37.50
1;8;3500;8500;REST;-1;REST;9;9;0;1;7,8,9,10,11,12,13,14,15;60.42;2.06;994.22;34.46;51.43;37.50
1;9;4000;9000;REST;-1;REST;9;9;0;1;8,9,10,11,12,13,14,15,16;60.75;1.80;988.44;29.44;45.23;25.00
1;10;4500;9500;REST;-1;REST;9;9;0;1;9,10,11,12,13,14,15,16,17;60.61;1.77;990.67;28.79;44.56;25.00
1;11;5000;10000;REST;-1;REST;9;9;0;1;10,11,12,13,14,15,16,17,18;61.62;3.28;976.22;50.97;63.32;37.50
1;12;5500;10500;REST;-1;REST;9;9;0;1;11,12,13,14,15,16,17,18,19;62.24;3.35;966.67;52.32;66.54;50.00
1;13;6000;11000;REST;-1;REST;10;10;0;1;12,13,14,15,16,17,18,19,20,21;62.79;3.11;957.80;48.35;55.86;33.33
1;14;6500;11500;REST;-1;REST;10;10;0;1;13,14,15,16,17,18,19,20,21,22;63.32;3.87;951.00;58.58;56.57;33.33
1;15;7000;12000;REST;-1;REST;10;10;0;1;14,15,16,17,18,19,20,21,22,23;64.21;3.97;938.00;59.92;57.21;33.33
1;16;7500;12500;REST;-1;REST;10;10;0;1;15,16,17,18,19,20,21,22,23,24;64.69;3.65;930.40;54.64;60.33;44.44
1;17;8000;13000;REST;-1;REST;10;10;0;1;16,17,18,19,20,21,22,23,24,25;64.99;3.37;925.60;49.74;60.61;44.44
1;18;8500;13500;REST;-1;REST;10;10;0;1;17,18,19,20,21,22,23,24,25,26;65.12;3.22;923.60;47.20;60.90;44.44
1;19;9000;14000;REST;-1;REST;10;10;0;1;18,19,20,21,22,23,24,25,26,27;65.61;2.83;916.20;40.62;46.79;44.44
1;20;9500;14500;REST;-1;REST;10;10;0;1;19,20,21,22,23,24,25,26,27,28;64.82;2.74;927.20;39.80;46.51;44.44
1;21;10000;15000;REST;-1;REST;10;10;0;1;20,21,22,23,24,25,26,27,28,29;64.66;2.77;929.60;40.18;46.97;44.44
1;22;10500;15500;REST;-1;REST;10;10;0;1;21,22,23,24,25,26,27,28,29,30;64.28;3.12;935.60;46.25;50.54;55.56
1;23;11000;16000;REST;-1;REST;9;9;0;1;23,24,25,26,27,28,29,30,31;63.13;2.61;952.00;40.76;41.61;50.00
1;24;11500;16500;REST;-1;REST;9;9;0;1;24,25,26,27,28,29,30,31,32;62.64;1.83;958.67;29.85;43.08;50.00
1;25;12000;17000;REST;-1;REST;9;9;0;1;25,26,27,28,29,30,31,32,33;62.53;1.75;960.22;28.63;42.70;50.00
1;26;12500;17500;REST;-1;REST;9;9;0;1;26,27,28,29,30,31,32,33,34;62.42;1.75;962.00;28.55;42.94;50.00
1;27;13000;18000;REST;-1;REST;9;9;0;1;27,28,29,30,31,32,33,34,35;62.45;1.74;961.56;28.44;38.81;37.50
1;28;13500;18500;REST;-1;REST;9;9;0;1;28,29,30,31,32,33,34,35,36;62.54;1.91;960.22;30.91;39.55;37.50
1;29;14000;19000;REST;-1;REST;9;9;0;1;29,30,31,32,33,34,35,36,37;62.60;1.89;959.33;30.58;43.77;50.00
1;30;14500;19500;REST;-1;REST;9;9;0;1;30,31,32,33,34,35,36,37,38;62.18;2.07;966.00;33.69;41.52;37.50
1;31;15000;20000;REST;-1;REST;10;10;0;1;31,32,33,34,35,36,37,38,39,40;62.72;2.33;958.00;37.03;50.01;44.44
1;32;15500;20500;REST;-1;REST;10;10;0;1;32,33,34,35,36,37,38,39,40,41;63.09;2.16;952.20;34.16;47.24;33.33
1;33;16000;21000;REST;-1;REST;10;10;0;1;33,34,35,36,37,38,39,40,41,42;62.95;2.13;954.20;33.55;47.24;33.33
1;34;16500;21500;REST;-1;REST;10;10;0;1;34,35,36,37,38,39,40,41,42,43;62.96;2.13;954.00;33.61;46.79;33.33
1;35;17000;22000;REST;-1;REST;10;10;0;1;35,36,37,38,39,40,41,42,43,44;63.25;2.17;949.80;34.29;47.17;33.33
1;36;17500;22500;REST;-1;REST;10;10;0;1;36,37,38,39,40,41,42,43,44,45;63.54;2.19;945.40;34.80;42.74;22.22
1;37;18000;23000;REST;-1;REST;10;10;0;1;37,38,39,40,41,42,43,44,45,46;63.72;2.46;943.00;38.45;40.06;11.11
1;38;18500;23500;REST;-1;REST;10;10;0;1;38,39,40,41,42,43,44,45,46,47;64.31;2.71;934.60;41.89;37.77;11.11
1;39;19000;24000;REST;-1;REST;10;10;0;1;39,40,41,42,43,44,45,46,47,48;64.89;2.22;925.80;33.66;39.27;11.11
1;40;19500;24500;REST;-1;REST;10;10;0;1;40,41,42,43,44,45,46,47,48,49;65.88;2.31;911.80;33.10;33.40;11.11
1;41;20000;25000;REST;-1;REST;9;9;0;1;42,43,44,45,46,47,48,49,50;66.00;2.30;910.22;33.05;38.82;25.00
1;42;25209;30209;GESTURE;1;Hand Close;9;9;0;1;53,54,55,56,57,58,59,60,61;62.91;2.12;954.89;34.67;43.21;12.50
1;43;25709;30709;GESTURE;1;Hand Close;9;9;0;1;54,55,56,57,58,59,60,61,62;63.27;1.85;949.11;30.27;41.95;12.50
1;44;26209;31209;GESTURE;1;Hand Close;10;10;0;1;55,56,57,58,59,60,61,62,63,64;64.40;2.79;933.40;42.01;54.26;33.33
1;45;26709;31709;GESTURE;1;Hand Close;10;10;0;1;56,57,58,59,60,61,62,63,64,65;65.33;2.42;919.60;34.60;46.52;22.22
1;46;33447;38447;GESTURE;1;Hand Close;10;10;0;1;70,71,72,73,74,75,76,77,78,79;63.99;2.07;938.60;32.66;34.26;22.22
1;47;33947;38947;GESTURE;1;Hand Close;10;10;0;1;71,72,73,74,75,76,77,78,79,80;64.36;1.81;933.00;28.55;30.82;11.11
1;48;34447;39447;GESTURE;1;Hand Close;10;10;0;1;72,73,74,75,76,77,78,79,80,81;64.19;1.87;935.60;29.42;29.31;11.11
1;49;34947;39947;GESTURE;1;Hand Close;10;10;0;1;73,74,75,76,77,78,79,80,81,82;63.56;3.17;946.60;54.00;50.04;22.22
1;50;40118;45118;REST;-1;REST;9;9;0;1;84,85,86,87,88,89,90,91,92;59.00;2.91;1019.33;52.80;35.05;0.00
1;51;45252;50252;GESTURE;10;Flexion of Middle Finger;10;10;0;1;94,95,96,97,98,99,100,101,102,103;66.40;3.36;906.00;49.29;43.17;33.33
1;52;45752;50752;GESTURE;10;Flexion of Middle Finger;11;11;0;1;95,96,97,98,99,100,101,102,103,104,105;66.84;2.54;898.91;35.24;39.22;30.00
1;53;46252;51252;GESTURE;10;Flexion of Middle Finger;10;10;0;1;97,98,99,100,101,102,103,104,105,106;66.84;2.93;899.40;42.07;43.06;33.33
1;54;46752;51752;GESTURE;10;Flexion of Middle Finger;10;10;0;1;98,99,100,101,102,103,104,105,106,107;66.48;3.31;904.80;48.05;43.11;33.33
1;55;53532;58532;GESTURE;10;Flexion of Middle Finger;10;10;0;1;112,113,114,115,116,117,118,119,120,121;62.94;2.34;954.60;35.55;57.81;44.44
1;56;54032;59032;GESTURE;10;Flexion of Middle Finger;10;10;0;1;113,114,115,116,117,118,119,120,121,122;62.50;2.66;961.60;41.40;59.72;44.44
1;57;54532;59532;GESTURE;10;Flexion of Middle Finger;10;10;0;1;114,115,116,117,118,119,120,121,122,123;62.10;3.05;968.40;48.61;59.55;44.44
1;58;55032;60032;GESTURE;10;Flexion of Middle Finger;10;10;0;1;115,116,117,118,119,120,121,122,123,124;61.59;3.25;976.80;52.21;58.88;44.44
1;59;60201;65201;REST;-1;REST;10;10;0;1;126,127,128,129,130,131,132,133,134,135;63.84;2.20;941.00;33.88;40.45;22.22
1;60;65372;70372;GESTURE;3;Wrist Flexion;9;9;0;1;137,138,139,140,141,142,143,144,145;61.23;2.02;980.89;33.91;52.40;50.00
1;61;65872;70872;GESTURE;3;Wrist Flexion;9;9;0;1;138,139,140,141,142,143,144,145,146;61.22;2.01;981.11;33.65;44.11;37.50
1;62;66372;71372;GESTURE;3;Wrist Flexion;9;9;0;1;139,140,141,142,143,144,145,146,147;61.47;1.79;976.89;29.75;45.25;37.50
1;63;66872;71872;GESTURE;3;Wrist Flexion;9;9;0;1;140,141,142,143,144,145,146,147,148;61.61;1.74;974.67;28.88;45.03;37.50
1;64;73657;78657;GESTURE;3;Wrist Flexion;10;10;0;1;154,155,156,157,158,159,160,161,162,163;64.98;2.81;925.00;41.61;47.76;22.22
1;65;74157;79157;GESTURE;3;Wrist Flexion;10;10;0;1;155,156,157,158,159,160,161,162,163,164;65.82;3.80;914.60;54.12;48.94;22.22
1;66;74657;79657;GESTURE;3;Wrist Flexion;11;11;0;1;156,157,158,159,160,161,162,163,164,165,166;67.99;5.86;888.73;76.94;53.21;30.00
1;67;75157;80157;GESTURE;3;Wrist Flexion;11;11;0;1;157,158,159,160,161,162,163,164,165,166,167;68.88;6.00;877.64;79.15;52.03;30.00
1;68;80300;85300;REST;-1;REST;10;10;0;1;169,170,171,172,173,174,175,176,177,178;63.29;4.89;954.00;81.66;80.63;55.56
1;69;85452;90452;GESTURE;5;Pointing Index;9;9;0;1;180,181,182,183,184,185,186,187,188;61.04;2.35;984.44;39.25;61.36;50.00
1;70;85952;90952;GESTURE;5;Pointing Index;9;9;0;1;181,182,183,184,185,186,187,188,189;60.70;2.08;989.56;34.91;57.06;37.50
1;71;86452;91452;GESTURE;5;Pointing Index;9;9;0;1;182,183,184,185,186,187,188,189,190;60.36;2.40;995.56;41.03;62.44;50.00
1;72;86952;91952;GESTURE;5;Pointing Index;9;9;0;1;183,184,185,186,187,188,189,190,191;60.05;2.55;1000.89;43.83;55.83;37.50
1;73;93749;98749;GESTURE;5;Pointing Index;9;9;0;1;197,198,199,200,201,202,203,204,205;61.47;3.39;979.11;57.62;59.35;37.50
1;74;94249;99249;GESTURE;5;Pointing Index;9;9;0;1;198,199,200,201,202,203,204,205,206;61.13;3.03;984.00;52.26;50.71;25.00
1;75;94749;99749;GESTURE;5;Pointing Index;9;9;0;1;199,200,201,202,203,204,205,206,207;61.53;3.14;977.78;54.22;46.58;12.50
1;76;95249;100249;GESTURE;5;Pointing Index;9;9;0;1;200,201,202,203,204,205,206,207,208;62.73;3.26;959.11;54.39;50.21;25.00
1;77;100419;105419;REST;-1;REST;10;10;0;1;211,212,213,214,215,216,217,218,219,220;71.03;4.74;848.80;64.08;40.88;11.11
1;78;105541;110541;GESTURE;2;Hand Open;10;10;0;1;223,224,225,226,227,228,229,230,231,232;65.75;3.74;915.40;53.51;62.37;55.56
1;79;106041;111041;GESTURE;2;Hand Open;10;10;0;1;224,225,226,227,228,229,230,231,232,233;64.58;3.13;931.20;46.37;61.29;55.56
1;80;106541;111541;GESTURE;2;Hand Open;10;10;0;1;225,226,227,228,229,230,231,232,233,234;63.97;2.61;939.40;39.06;57.38;44.44
1;81;107041;112041;GESTURE;2;Hand Open;10;10;0;1;226,227,228,229,230,231,232,233,234,235;64.49;3.06;932.40;45.48;62.64;55.56
1;82;113892;118892;GESTURE;2;Hand Open;9;9;0;1;241,242,243,244,245,246,247,248,249;63.21;1.28;949.56;19.94;30.50;0.00
1;83;114392;119392;GESTURE;2;Hand Open;10;10;0;1;242,243,244,245,246,247,248,249,250,251;63.53;1.79;945.20;27.36;38.14;11.11
