repetition;window_id;start_sample;end_sample;label;gesture_id;gesture_name;n_rr;n_valid_rr;n_invalid_rr;is_valid_window;rr_indices;mean_hr_bpm;std_hr_bpm;mean_rr_ms;sdnn_ms;rmssd_ms;pnn50_pct
1;1;0;5000;REST;-1;REST;9;9;0;1;0,1,2,3,4,5,6,7,8;62.26;4.58;970.00;90.42;108.07;12.50
1;2;500;5500;REST;-1;REST;10;10;0;1;1,2,3,4,5,6,7,8,9,10;64.02;1.21;937.60;18.54;17.41;0.00
1;3;1000;6000;REST;-1;REST;10;10;0;1;2,3,4,5,6,7,8,9,10,11;63.83;0.95;940.20;14.74;16.79;0.00
1;4;1500;6500;REST;-1;REST;10;10;0;1;3,4,5,6,7,8,9,10,11,12;63.77;0.87;941.00;13.57;12.45;0.00
1;5;2000;7000;REST;-1;REST;10;10;0;1;4,5,6,7,8,9,10,11,12,13;64.02;0.97;937.40;15.03;12.26;0.00
1;6;2500;7500;REST;-1;REST;10;10;0;1;5,6,7,8,9,10,11,12,13,14;64.51;1.16;930.40;17.38;12.26;0.00
1;7;3000;8000;REST;-1;REST;10;10;0;1;6,7,8,9,10,11,12,13,14,15;65.00;1.66;923.60;24.27;13.37;0.00
1;8;3500;8500;REST;-1;REST;10;10;0;1;7,8,9,10,11,12,13,14,15,16;65.49;1.67;916.80;24.33;13.55;0.00
1;9;4000;9000;REST;-1;REST;10;10;0;1;8,9,10,11,12,13,14,15,16,17;65.80;1.57;912.40;22.80;14.31;0.00
1;10;4500;9500;REST;-1;REST;10;10;0;1;9,10,11,12,13,14,15,16,17,18;66.05;1.36;908.80;19.51;12.74;0.00
1;11;5000;10000;REST;-1;REST;11;11;0;1;10,11,12,13,14,15,16,17,18,19,20;66.44;1.38;903.45;19.70;15.26;0.00
1;12;5500;10500;REST;-1;REST;10;10;0;1;12,13,14,15,16,17,18,19,20,21;66.89;1.13;897.20;16.03;16.01;0.00
1;13;6000;11000;REST;-1;REST;10;10;0;1;13,14,15,16,17,18,19,20,21,22;67.13;0.88;894.00;12.44;15.68;0.00
1;14;6500;11500;REST;-1;REST;10;10;0;1;14,15,16,17,18,19,20,21,22,23;67.47;0.86;889.40;11.89;16.00;0.00
1;15;7000;12000;REST;-1;REST;10;10;0;1;15,16,17,18,19,20,21,22,23,24;67.56;0.86;888.20;11.98;15.08;0.00
1;16;7500;12500;REST;-1;REST;10;10;0;1;16,17,18,19,20,21,22,23,24,25;67.69;1.08;886.60;14.82;16.60;0.00
1;17;8000;13000;REST;-1;REST;10;10;0;1;17,18,19,20,21,22,23,24,25,26;67.83;1.16;884.80;15.95;16.28;0.00
1;18;8500;13500;REST;-1;REST;11;11;0;1;18,19,20,21,22,23,24,25,26,27,28;67.95;1.07;883.27;14.51;15.90;0.00
1;19;9000;14000;REST;-1;REST;11;11;0;1;19,20,21,22,23,24,25,26,27,28,29;68.11;0.86;881.09;11.61;13.27;0.00
1;20;9500;14500;REST;-1;REST;11;11;0;1;20,21,22,23,24,25,26,27,28,29,30;68.11;0.86;881.09;11.61;12.95;0.00
1;21;10000;15000;REST;-1;REST;10;10;0;1;22,23,24,25,26,27,28,29,30,31;68.46;0.94;876.60;12.65;15.80;0.00
1;22;10500;15500;REST;-1;REST;10;10;0;1;23,24,25,26,27,28,29,30,31,32;68.61;0.83;874.60;11.08;14.64;0.00
1;23;11000;16000;REST;-1;REST;10;10;0;1;24,25,26,27,28,29,30,31,32,33;68.52;0.84;875.80;11.17;14.33;0.00
1;24;11500;16500;REST;-1;REST;10;10;0;1;25,26,27,28,29,30,31,32,33,34;68.40;0.97;877.40;13.13;13.03;0.00
1;25;12000;17000;REST;-1;REST;10;10;0;1;26,27,28,29,30,31,32,33,34,35;68.12;0.89;881.00;12.12;12.67;0.00
1;26;12500;17500;REST;-1;REST;11;11;0;1;27,28,29,30,31,32,33,34,35,36,37;67.86;0.90;884.36;12.16;13.16;0.00
1;27;13000;18000;REST;-1;REST;11;11;0;1;28,29,30,31,32,33,34,35,36,37,38;67.69;0.96;886.55;13.03;13.83;0.00
1;28;13500;18500;REST;-1;REST;10;10;0;1;30,31,32,33,34,35,36,37,38,39;67.47;1.25;889.60;17.35;15.65;0.00
1;29;14000;19000;REST;-1;REST;10;10;0;1;31,32,33,34,35,36,37,38,39,40;67.33;1.26;891.40;17.41;15.01;0.00
1;30;14500;19500;REST;-1;REST;10;10;0;1;32,33,34,35,36,37,38,39,40,41;66.98;0.93;896.00;13.17;14.09;0.00
1;31;15000;20000;REST;-1;REST;10;10;0;1;33,34,35,36,37,38,39,40,41,42;66.75;0.76;899.00;10.80;13.84;0.00
1;32;15500;20500;REST;-1;REST;10;10;0;1;34,35,36,37,38,39,40,41,42,43;66.64;0.64;900.40;9.13;13.05;0.00
1;33;16000;21000;REST;-1;REST;10;10;0;1;35,36,37,38,39,40,41,42,43,44;66.76;0.76;898.80;10.84;13.79;0.00
1;34;16500;21500;REST;-1;REST;11;11;0;1;36,37,38,39,40,41,42,43,44,45,46;67.22;1.28;892.91;17.63;14.82;0.00
1;35;17000;22000;REST;-1;REST;11;11;0;1;37,38,39,40,41,42,43,44,45,46,47;67.26;1.26;892.36;17.41;16.30;0.00
1;36;17500;22500;REST;-1;REST;10;10;0;1;39,40,41,42,43,44,45,46,47,48;67.13;1.36;894.20;18.91;15.86;0.00
1;37;18000;23000;REST;-1;REST;10;10;0;1;40,41,42,43,44,45,46,47,48,49;67.27;1.22;892.20;16.82;14.94;0.00
1;38;18500;23500;REST;-1;REST;10;10;0;1;41,42,43,44,45,46,47,48,49,50;67.24;1.24;892.60;17.08;14.94;0.00
1;39;19000;24000;REST;-1;REST;10;10;0;1;42,43,44,45,46,47,48,49,50,51;67.20;1.28;893.20;17.62;15.07;0.00
1;40;19500;24500;REST;-1;REST;11;11;0;1;43,44,45,46,47,48,49,50,51,52,53;81.29;32.93;809.64;189.44;134.05;20.00
