repetition;window_id;start_sample;end_sample;label;gesture_id;gesture_name;n_rr;n_valid_rr;n_invalid_rr;is_valid_window;rr_indices;mean_hr_bpm;std_hr_bpm;mean_rr_ms;sdnn_ms;rmssd_ms;pnn50_pct
1;1;0;5000;REST;-1;REST;13;13;0;1;0,1,2,3,4,5,6,7,8,9,10,11,12;86.52;6.02;697.69;63.24;63.83;8.33
1;2;500;5500;REST;-1;REST;14;14;0;1;1,2,3,4,5,6,7,8,9,10,11,12,13,14;88.37;1.56;679.14;12.52;13.15;0.00
1;3;1000;6000;REST;-1;REST;13;13;0;1;3,4,5,6,7,8,9,10,11,12,13,14,15;88.42;1.59;678.77;12.85;12.92;0.00
1;4;1500;6500;REST;-1;REST;14;14;0;1;4,5,6,7,8,9,10,11,12,13,14,15,16,17;89.04;1.81;674.14;14.24;14.77;0.00
1;5;2000;7000;REST;-1;REST;14;14;0;1;6,7,8,9,10,11,12,13,14,15,16,17,18,19;90.13;1.94;666.00;14.63;12.78;0.00
1;6;2500;7500;REST;-1;REST;14;14;0;1;7,8,9,10,11,12,13,14,15,16,17,18,19,20;90.27;1.96;665.00;14.82;12.23;0.00
1;7;3000;8000;REST;-1;REST;15;15;0;1;8,9,10,11,12,13,14,15,16,17,18,19,20,21,22;90.69;1.80;661.87;13.53;10.93;0.00
1;8;3500;8500;REST;-1;REST;14;14;0;1;10,11,12,13,14,15,16,17,18,19,20,21,22,23;91.14;2.21;658.71;16.45;12.38;0.00
1;9;4000;9000;REST;-1;REST;15;15;0;1;11,12,13,14,15,16,17,18,19,20,21,22,23,24,25;91.73;2.46;654.53;18.13;11.78;0.00
1;10;4500;9500;REST;-1;REST;14;14;0;1;13,14,15,16,17,18,19,20,21,22,23,24,25,26;92.38;2.51;650.00;18.50;11.77;0.00
1;11;5000;10000;REST;-1;REST;15;15;0;1;14,15,16,17,18,19,20,21,22,23,24,25,26,27,28;93.23;2.83;644.13;20.43;11.64;0.00
1;12;5500;10500;REST;-1;REST;15;15;0;1;16,17,18,19,20,21,22,23,24,25,26,27,28,29,30;94.12;2.23;637.87;15.76;11.94;0.00
1;13;6000;11000;REST;-1;REST;15;15;0;1;17,18,19,20,21,22,23,24,25,26,27,28,29,30,31;94.17;2.14;637.47;14.99;11.40;0.00
1;14;6500;11500;REST;-1;REST;15;15;0;1;19,20,21,22,23,24,25,26,27,28,29,30,31,32,33;93.87;2.34;639.60;16.48;11.24;0.00
1;15;7000;12000;REST;-1;REST;15;15;0;1;20,21,22,23,24,25,26,27,28,29,30,31,32,33,34;93.63;2.58;641.33;18.25;11.40;0.00
1;16;7500;12500;REST;-1;REST;14;14;0;1;22,23,24,25,26,27,28,29,30,31,32,33,34,35;93.34;3.43;643.71;25.51;15.32;0.00
1;17;8000;13000;REST;-1;REST;14;14;0;1;24,25,26,27,28,29,30,31,32,33,34,35,36,37;92.68;3.68;648.43;27.28;17.65;0.00
1;18;8500;13500;REST;-1;REST;15;15;0;1;25,26,27,28,29,30,31,32,33,34,35,36,37,38,39;92.39;3.58;650.40;26.47;18.43;0.00
1;19;9000;14000;REST;-1;REST;14;14;0;1;27,28,29,30,31,32,33,34,35,36,37,38,39,40;91.55;3.70;656.43;27.54;19.85;0.00
1;20;9500;14500;REST;-1;REST;14;14;0;1;28,29,30,31,32,33,34,35,36,37,38,39,40,41;90.75;3.56;662.14;26.79;19.92;0.00
1;21;10000;15000;REST;-1;REST;14;14;0;1;30,31,32,33,34,35,36,37,38,39,40,41,42,43;89.68;2.52;669.57;19.74;20.44;0.00
1;22;10500;15500;REST;-1;REST;13;13;0;1;32,33,34,35,36,37,38,39,40,41,42,43,44;89.33;2.35;672.15;18.63;20.65;0.00
1;23;11000;16000;REST;-1;REST;14;14;0;1;33,34,35,36,37,38,39,40,41,42,43,44,45,46;89.00;2.27;674.57;17.86;20.23;0.00
1;24;11500;16500;REST;-1;REST;13;13;0;1;35,36,37,38,39,40,41,42,43,44,45,46,47;88.94;2.33;675.08;18.38;19.54;0.00
1;25;12000;17000;REST;-1;REST;14;14;0;1;36,37,38,39,40,41,42,43,44,45,46,47,48,49;89.31;2.06;672.14;16.01;19.43;0.00
1;26;12500;17500;REST;-1;REST;14;14;0;1;37,38,39,40,41,42,43,44,45,46,47,48,49,50;89.26;2.11;672.57;16.43;17.85;0.00
1;27;13000;18000;REST;-1;REST;14;14;0;1;39,40,41,42,43,44,45,46,47,48,49,50,51,52;88.06;2.38;681.86;19.24;17.76;0.00
1;28;13500;18500;REST;-1;REST;13;13;0;1;41,42,43,44,45,46,47,48,49,50,51,52,53;88.14;2.45;681.23;19.88;21.79;0.00
1;29;14000;19000;REST;-1;REST;14;14;0;1;42,43,44,45,46,47,48,49,50,51,52,53,54,55;88.62;2.43;677.57;19.65;20.75;0.00
1;30;14500;19500;REST;-1;REST;14;14;0;1;43,44,45,46,47,48,49,50,51,52,53,54,55,56;88.66;2.42;677.29;19.61;19.94;0.00
1;31;15000;20000;REST;-1;REST;14;14;0;1;45,46,47,48,49,50,51,52,53,54,55,56,57,58;88.68;2.53;677.14;20.38;21.11;0.00
1;32;15500;20500;REST;-1;REST;14;14;0;1;46,47,48,49,50,51,52,53,54,55,56,57,58,59;89.08;2.92;674.29;23.16;21.11;0.00
1;33;16000;21000;REST;-1;REST;14;14;0;1;48,49,50,51,52,53,54,55,56,57,58,59,60,61;89.43;3.02;671.71;23.88;20.45;0.00
1;34;16500;21500;REST;-1;REST;14;14;0;1;49,50,51,52,53,54,55,56,57,58,59,60,61,62;89.11;3.02;674.14;23.89;19.83;0.00
1;35;17000;22000;REST;-1;REST;14;14;0;1;51,52,53,54,55,56,57,58,59,60,61,62,63,64;89.46;2.92;671.43;23.17;19.43;0.00
1;36;17500;22500;REST;-1;REST;14;14;0;1;52,53,54,55,56,57,58,59,60,61,62,63,64,65;89.70;2.56;669.43;20.02;20.05;0.00
1;37;18000;23000;REST;-1;REST;14;14;0;1;54,55,56,57,58,59,60,61,62,63,64,65,66,67;90.12;2.11;666.14;16.09;16.84;0.00
1;38;18500;23500;REST;-1;REST;14;14;0;1;55,56,57,58,59,60,61,62,63,64,65,66,67,68;90.30;2.28;664.86;17.29;17.20;0.00
1;39;19000;24000;REST;-1;REST;14;14;0;1;57,58,59,60,61,62,63,64,65,66,67,68,69,70;91.02;2.61;659.71;19.69;17.02;0.00
1;40;19500;24500;REST;-1;REST;14;14;0;1;58,59,60,61,62,63,64,65,66,67,68,69,70,71;91.34;2.58;657.43;19.51;15.51;0.00
1;41;20000;25000;REST;-1;REST;14;14;0;1;60,61,62,63,64,65,66,67,68,69,70,71,72,73;91.42;2.64;656.86;19.92;15.19;0.00
1;42;25190;30190;GESTURE;4;Wrist Extension;13;13;0;1;76,77,78,79,80,81,82,83,84,85,86,87,88;89.35;4.27;673.08;33.65;18.06;0.00
1;43;25690;30690;GESTURE;4;Wrist Extension;14;14;0;1;77,78,79,80,81,82,83,84,85,86,87,88,89,90;89.41;3.82;672.29;29.44;15.96;0.00
1;44;26190;31190;GESTURE;4;Wrist Extension;14;14;0;1;78,79,80,81,82,83,84,85,86,87,88,89,90,91;89.50;3.73;671.57;28.68;15.82;0.00
1;45;26690;31690;GESTURE;4;Wrist Extension;14;14;0;1;80,81,82,83,84,85,86,87,88,89,90,91,92,93;89.49;3.71;671.57;28.45;14.98;0.00
