repetition;window_id;start_sample;end_sample;label;gesture_id;gesture_name;n_rr;n_valid_rr;n_invalid_rr;is_valid_window;rr_indices;mean_hr_bpm;std_hr_bpm;mean_rr_ms;sdnn_ms;rmssd_ms;pnn50_pct
1;1;0;5000;REST;-1;REST;9;9;0;1;0,1,2,3,4,5,6,7,8;60.92;3.23;987.56;53.80;70.56;62.50
1;2;500;5500;REST;-1;REST;9;9;0;1;1,2,3,4,5,6,7,8,9;61.11;3.15;984.44;52.62;66.52;50.00
1;3;1000;6000;REST;-1;REST;9;9;0;1;2,3,4,5,6,7,8,9,10;60.70;3.10;990.89;51.41;65.73;50.00
1;4;1500;6500;REST;-1;REST;9;9;0;1;3,4,5,6,7,8,9,10,11;60.55;3.11;993.33;51.57;65.70;50.00
1;5;2000;7000;REST;-1;REST;9;9;0;1;4,5,6,7,8,9,10,11,12;61.10;3.48;985.11;57.70;62.22;50.00
1;6;2500;7500;REST;-1;REST;9;9;0;1;5,6,7,8,9,10,11,12,13;60.18;2.48;998.67;42.87;60.72;50.00
1;7;3000;8000;REST;-1;REST;9;9;0;1;6,7,8,9,10,11,12,13,14;59.99;2.44;1001.78;42.20;51.73;37.50
1;8;3500;8500;REST;-1;REST;9;9;0;1;7,8,9,10,11,12,13,14,15;60.40;2.05;994.44;34.23;50.92;37.50
1;9;4000;9000;REST;-1;REST;9;9;0;1;8,9,10,11,12,13,14,15,16;60.74;1.79;988.67;29.22;45.46;25.00
1;10;4500;9500;REST;-1;REST;9;9;0;1;9,10,11,12,13,14,15,16,17;60.63;1.77;990.44;28.84;45.19;25.00
1;11;5000;10000;REST;-1;REST;9;9;0;1;10,11,12,13,14,15,16,17,18;61.57;3.20;976.89;49.99;62.64;37.50
1;12;5500;10500;REST;-1;REST;9;9;0;1;11,12,13,14,15,16,17,18,19;62.24;3.33;966.67;52.19;64.90;37.50
1;13;6000;11000;REST;-1;REST;9;9;0;1;12,13,14,15,16,17,18,19,20;62.67;3.21;959.78;50.41;57.42;25.00
1;14;6500;11500;REST;-1;REST;10;10;0;1;13,14,15,16,17,18,19,20,21,22;63.30;3.81;951.20;57.85;54.52;22.22
1;15;7000;12000;REST;-1;REST;10;10;0;1;14,15,16,17,18,19,20,21,22,23;64.20;3.93;938.00;59.50;55.00;22.22
1;16;7500;12500;REST;-1;REST;10;10;0;1;15,16,17,18,19,20,21,22,23,24;64.68;3.63;930.60;54.50;58.51;33.33
1;17;8000;13000;REST;-1;REST;10;10;0;1;16,17,18,19,20,21,22,23,24,25;65.00;3.32;925.40;49.14;58.68;33.33
1;18;8500;13500;REST;-1;REST;10;10;0;1;17,18,19,20,21,22,23,24,25,26;65.12;3.18;923.60;46.79;59.13;33.33
1;19;9000;14000;REST;-1;REST;10;10;0;1;18,19,20,21,22,23,24,25,26,27;65.59;2.78;916.40;40.16;45.70;33.33
1;20;9500;14500;REST;-1;REST;10;10;0;1;19,20,21,22,23,24,25,26,27,28;64.85;2.73;926.80;39.70;46.19;44.44
1;21;10000;15000;REST;-1;REST;10;10;0;1;20,21,22,23,24,25,26,27,28,29;64.63;2.76;930.00;40.02;45.94;44.44
1;22;10500;15500;REST;-1;REST;10;10;0;1;21,22,23,24,25,26,27,28,29,30;64.27;3.08;935.60;45.71;49.08;55.56
1;23;11000;16000;REST;-1;REST;10;10;0;1;22,23,24,25,26,27,28,29,30,31;63.89;3.34;941.60;50.08;38.84;44.44
